ItemCompraID,CompraID,IsqueiroID,Quantidade,PrecoUnitario,Desconto,SubTotal,MarcaID,CategoriaID,Modelo,Cor,Material,TipoCombustivel,CapacidadeML,Peso,PrecoSugerido,NomeMarca,NomeCategoria
41,18048,42,2,31.2,12.4,54.6624,6,3,Modelo 42,Coral claro,Metal,Butano,27.38,99.36,60.67,Flamme,Premium
42,41974,7,2,23.8,7.8,43.8872,4,5,Modelo 7,Verde espectro,Aço Inoxidável,Outro,16.41,67.89,14.69,Cricket,Industrial
43,6184,20,2,56.07,16.69,93.423834,8,2,Modelo 20,Vermelho enegrecido,Aço Inoxidável,Butano,17.95,41.8,88.93,Spark,Recarregável
44,11281,3,2,24.17,6.5,45.1979,16,3,Modelo 3,Pêssego,Aço Inoxidável,Gasolina,50.0,55.21,71.15,Flint,Premium
45,264,4,1,84.75,17.89,69.588225,14,1,Modelo 4,Branco,Aço Inoxidável,Gasolina,41.03,40.13,93.24,Glow,Descartável
46,48976,22,3,52.94,7.26,147.289668,19,4,Modelo 22,Pardo escuro,Plástico,Butano,26.48,41.3,38.75,Burner,Decorativo
47,47568,28,1,85.49,8.83,77.941233,1,5,Modelo 28,Cardo,Metal,Butano,33.59,11.25,21.04,Bic,Industrial
48,44136,16,2,24.12,5.37,45.649512,17,1,Modelo 16,Dourado escuro,Metal,Butano,27.16,83.67,90.52,Scorch,Descartável
49,34327,99,3,93.57,11.61,248.119569,8,5,Modelo 99,Amarelo esverdeado,Plástico,Butano,29.65,99.35,98.81,Spark,Industrial
50,6541,25,4,79.92,17.5,263.736,1,4,Modelo 25,Coral,Plástico,Butano,47.96,38.96,55.49,Bic,Decorativo
51,9132,67,1,26.69,14.28,22.878668,13,3,Modelo 67,Lavanda,Metal,Butano,19.71,93.84,40.5,Flicker,Premium
52,43616,85,2,15.28,19.44,24.619136,16,5,Modelo 85,Oliva escura,Plástico,Butano,48.13,51.68,40.8,Flint,Industrial
53,3575,95,1,47.25,7.25,43.824375,7,3,Modelo 95,Rosa Choque,Metal,Gasolina,6.91,52.54,60.34,Luminos,Premium
54,34728,32,1,60.66,10.92,54.035928,19,3,Modelo 32,Azul escuro,Aço Inoxidável,Gasolina,14.93,20.87,65.83,Burner,Premium
55,1723,9,3,83.41,0.45,249.103965,15,4,Modelo 9,Água-marinha,Plástico,Butano,20.09,75.61,60.95,Ember,Decorativo
56,49535,1,3,65.47,2.7,191.10693,5,4,Modelo 1,Verde primavera,Plástico,Butano,26.59,39.32,83.47,Djeep,Decorativo
57,45147,72,2,61.23,4.54,116.900316,3,5,Modelo 72,Eminência,Aço Inoxidável,Butano,45.54,62.67,80.34,Clipper,Industrial
58,29305,70,2,41.38,8.06,76.089544,1,3,Modelo 70,Malva,Aço Inoxidável,Butano,34.3,60.32,89.06,Bic,Premium
59,38613,6,1,76.89,14.85,65.471835,19,5,Modelo 6,Verde fluorescente,Aço Inoxidável,Butano,15.4,35.2,18.04,Burner,Industrial
60,28601,88,2,97.7,2.47,190.57362,3,4,Modelo 88,Rosa profundo,Metal,Butano,10.32,40.28,86.75,Clipper,Decorativo
61,8771,100,1,80.87,12.67,70.623771,14,2,Modelo 100,Água-marinha média,Metal,Gasolina,25.09,66.79,60.49,Glow,Recarregável
62,34901,16,1,84.07,5.65,79.320045,17,1,Modelo 16,Dourado escuro,Metal,Butano,27.16,83.67,90.52,Scorch,Descartável
63,46171,29,1,17.79,9.82,16.043021999999997,16,1,Modelo 29,Mamão batido,Metal,Butano,14.99,62.11,89.01,Flint,Descartável
64,19471,58,2,83.14,7.85,153.22702,1,4,Modelo 58,Creme,Metal,Outro,41.04,13.97,37.22,Bic,Decorativo
65,30072,76,3,92.44,15.41,234.584988,7,1,Modelo 76,Ciano escuro,Aço Inoxidável,Butano,45.79,31.54,57.85,Luminos,Descartável
66,1136,92,1,5.82,9.09,5.290962,19,2,Modelo 92,Turquesa,Metal,Butano,49.07,64.7,44.21,Burner,Recarregável
67,49507,78,1,39.59,6.06,37.190846,19,2,Modelo 78,Mostarda,Metal,Gasolina,40.39,12.04,94.83,Burner,Recarregável
68,30761,72,1,53.43,3.69,51.458433,3,5,Modelo 72,Eminência,Aço Inoxidável,Butano,45.54,62.67,80.34,Clipper,Industrial
69,30118,19,1,46.41,6.22,43.523298,18,3,Modelo 19,Azul real,Aço Inoxidável,Butano,12.48,61.73,14.87,LightUp,Premium
70,3864,86,1,17.96,18.62,14.615848,15,2,Modelo 86,Azul pólvora,Plástico,Butano,39.79,20.45,84.87,Ember,Recarregável
71,17355,95,1,50.77,4.25,48.612275,7,3,Modelo 95,Rosa Choque,Metal,Gasolina,6.91,52.54,60.34,Luminos,Premium
72,12140,72,1,62.32,18.44,50.828192,3,5,Modelo 72,Eminência,Aço Inoxidável,Butano,45.54,62.67,80.34,Clipper,Industrial
73,42467,97,1,43.77,4.6,41.75658,6,3,Modelo 97,Branco,Metal,Butano,41.95,58.96,59.42,Flamme,Premium
74,25278,88,3,37.88,8.05,104.49198,3,4,Modelo 88,Rosa profundo,Metal,Butano,10.32,40.28,86.75,Clipper,Decorativo
75,295,84,3,41.66,1.94,122.555388,13,3,Modelo 84,Ciano,Aço Inoxidável,Butano,21.12,47.29,82.43,Flicker,Premium
76,13020,92,1,43.63,11.16,38.760892,19,2,Modelo 92,Turquesa,Metal,Butano,49.07,64.7,44.21,Burner,Recarregável
77,39405,9,4,66.93,17.8,220.06584,15,4,Modelo 9,Água-marinha,Plástico,Butano,20.09,75.61,60.95,Ember,Decorativo
78,1212,78,1,28.04,10.25,25.1659,19,2,Modelo 78,Mostarda,Metal,Gasolina,40.39,12.04,94.83,Burner,Recarregável
79,15607,19,2,52.81,6.53,98.723014,18,3,Modelo 19,Azul real,Aço Inoxidável,Butano,12.48,61.73,14.87,LightUp,Premium
80,24132,40,3,69.52,0.46,207.600624,15,1,Modelo 40,Carmim,Aço Inoxidável,Butano,28.41,87.45,39.67,Ember,Descartável
81,26216,83,2,44.09,6.39,82.54529800000002,7,4,Modelo 83,Glitter,Aço Inoxidável,Butano,49.93,48.53,28.84,Luminos,Decorativo
82,44507,7,1,80.81,8.59,73.868421,4,5,Modelo 7,Verde espectro,Aço Inoxidável,Outro,16.41,67.89,14.69,Cricket,Industrial
83,42749,32,1,22.03,1.97,21.596009,19,3,Modelo 32,Azul escuro,Aço Inoxidável,Gasolina,14.93,20.87,65.83,Burner,Premium
84,40781,15,1,39.32,3.62,37.896616,9,1,Modelo 15,Carmim carnáceo,Aço Inoxidável,Butano,12.87,49.1,11.03,Firebird,Descartável
85,9228,4,1,57.49,0.66,57.110566,14,1,Modelo 4,Branco,Aço Inoxidável,Gasolina,41.03,40.13,93.24,Glow,Descartável
86,46266,75,1,35.89,7.04,33.363344,20,2,Modelo 75,Azul cobalto,Plástico,Butano,47.16,97.28,12.52,Fireside,Recarregável
87,44751,2,3,84.32,6.65,236.13816,14,4,Modelo 2,Sépia,Aço Inoxidável,Butano,48.33,65.65,75.89,Glow,Decorativo
88,143,72,2,65.93,6.96,122.682544,3,5,Modelo 72,Eminência,Aço Inoxidável,Butano,45.54,62.67,80.34,Clipper,Industrial
89,5023,55,3,51.21,8.97,139.849389,5,3,Modelo 55,Marrom,Aço Inoxidável,Butano,38.68,31.76,97.08,Djeep,Premium
90,1506,60,1,35.96,14.64,30.695456,6,2,Modelo 60,Marrom rosado,Plástico,Butano,34.78,10.13,67.16,Flamme,Recarregável
91,9382,96,1,78.67,8.06,72.329198,3,3,Modelo 96,Amarelo escuro,Aço Inoxidável,Butano,16.72,16.69,26.71,Clipper,Premium
92,2994,81,3,94.17,11.4,250.30386,15,2,Modelo 81,Azul cadete,Plástico,Butano,26.95,32.48,18.05,Ember,Recarregável
93,39451,72,3,40.35,1.14,119.67003,3,5,Modelo 72,Eminência,Aço Inoxidável,Butano,45.54,62.67,80.34,Clipper,Industrial
94,23880,93,3,36.34,10.71,97.343958,6,5,Modelo 93,Limão,Plástico,Butano,10.95,13.39,59.85,Flamme,Industrial
95,45504,85,1,10.47,7.03,9.733959,16,5,Modelo 85,Oliva escura,Plástico,Butano,48.13,51.68,40.8,Flint,Industrial
96,49377,74,1,76.77,5.94,72.209862,11,3,Modelo 74,Rosa profundo,Aço Inoxidável,Gasolina,39.65,21.48,68.97,Ignite,Premium
97,23380,45,1,52.5,11.38,46.5255,5,4,Modelo 45,Azul escuro,Aço Inoxidável,Butano,14.88,95.2,9.22,Djeep,Decorativo
98,39308,3,1,33.52,11.33,29.72218400000001,16,3,Modelo 3,Pêssego,Aço Inoxidável,Gasolina,50.0,55.21,71.15,Flint,Premium
99,26946,13,1,84.71,19.51,68.18307899999999,16,5,Modelo 13,Rosa embaçado,Metal,Butano,31.89,39.33,24.03,Flint,Industrial
100,48786,9,1,70.43,11.32,62.45732400000001,15,4,Modelo 9,Água-marinha,Plástico,Butano,20.09,75.61,60.95,Ember,Decorativo
101,5371,65,2,71.19,5.27,134.876574,18,2,Modelo 65,Renda antiga,Aço Inoxidável,Butano,9.95,21.34,48.18,LightUp,Recarregável
102,2916,12,3,51.6,9.8,139.6296,15,1,Modelo 12,Azul ardósia,Metal,Butano,41.88,82.83,42.86,Ember,Descartável
103,45956,81,1,6.2,10.27,5.56326,15,2,Modelo 81,Azul cadete,Plástico,Butano,26.95,32.48,18.05,Ember,Recarregável
104,25646,54,1,44.29,4.38,42.350098,12,5,Modelo 54,Azul furtivo,Aço Inoxidável,Butano,9.93,82.09,87.58,Blaze,Industrial
105,21594,46,2,64.12,12.05,112.78708,12,3,Modelo 46,Azul céu profundo,Aço Inoxidável,Butano,9.4,45.96,59.09,Blaze,Premium
106,35906,7,1,11.63,0.17,11.610229,4,5,Modelo 7,Verde espectro,Aço Inoxidável,Outro,16.41,67.89,14.69,Cricket,Industrial
107,29733,33,1,11.87,4.62,11.321606,11,2,Modelo 33,Vermelho violeta médio,Plástico,Butano,5.26,56.84,25.59,Ignite,Recarregável
108,26231,55,5,73.56,18.53,299.64666,5,3,Modelo 55,Marrom,Aço Inoxidável,Butano,38.68,31.76,97.08,Djeep,Premium
109,10611,57,1,87.37,9.41,79.14848300000001,11,4,Modelo 57,Ferrugem,Plástico,Gasolina,38.76,72.4,69.91,Ignite,Decorativo
110,47280,3,1,60.42,1.7,59.39286,16,3,Modelo 3,Pêssego,Aço Inoxidável,Gasolina,50.0,55.21,71.15,Flint,Premium
111,12766,89,1,36.44,7.7,33.63412,16,3,Modelo 89,Verde-azulado,Plástico,Butano,15.67,51.86,5.77,Flint,Premium
112,43072,96,2,8.57,8.04,15.761944,3,3,Modelo 96,Amarelo escuro,Aço Inoxidável,Butano,16.72,16.69,26.71,Clipper,Premium
113,38533,51,1,14.05,6.01,13.205595,1,5,Modelo 51,Amarelo queimado,Metal,Gasolina,16.55,80.54,84.17,Bic,Industrial
114,23474,74,1,81.4,11.89,71.72154,11,3,Modelo 74,Rosa profundo,Aço Inoxidável,Gasolina,39.65,21.48,68.97,Ignite,Premium
115,8891,45,3,76.04,4.71,217.375548,5,4,Modelo 45,Azul escuro,Aço Inoxidável,Butano,14.88,95.2,9.22,Djeep,Decorativo
116,24730,43,1,65.38,12.13,57.449406,5,1,Modelo 43,Esmeralda,Plástico,Butano,8.98,57.6,74.69,Djeep,Descartável
117,35838,95,2,63.7,19.64,102.37864,7,3,Modelo 95,Rosa Choque,Metal,Gasolina,6.91,52.54,60.34,Luminos,Premium
118,45647,33,2,62.05,8.63,113.39016999999998,11,2,Modelo 33,Vermelho violeta médio,Plástico,Butano,5.26,56.84,25.59,Ignite,Recarregável
119,31069,98,1,81.2,18.11,66.49468,1,1,Modelo 98,Marfim,Aço Inoxidável,Butano,13.92,37.93,87.79,Bic,Descartável
120,36091,76,2,77.47,19.01,125.485906,7,1,Modelo 76,Ciano escuro,Aço Inoxidável,Butano,45.79,31.54,57.85,Luminos,Descartável
121,47092,36,1,72.55,16.83,60.339835,3,5,Modelo 36,Linho,Aço Inoxidável,Butano,49.21,50.65,17.92,Clipper,Industrial
122,41355,12,1,25.96,19.02,21.022408,15,1,Modelo 12,Azul ardósia,Metal,Butano,41.88,82.83,42.86,Ember,Descartável
123,2607,46,1,15.13,15.56,12.775772000000002,12,3,Modelo 46,Azul céu profundo,Aço Inoxidável,Butano,9.4,45.96,59.09,Blaze,Premium
124,44125,33,3,32.15,6.54,90.14217,11,2,Modelo 33,Vermelho violeta médio,Plástico,Butano,5.26,56.84,25.59,Ignite,Recarregável
125,41165,15,3,71.03,0.73,211.534443,9,1,Modelo 15,Carmim carnáceo,Aço Inoxidável,Butano,12.87,49.1,11.03,Firebird,Descartável
126,16809,33,1,75.64,19.62,60.799432,11,2,Modelo 33,Vermelho violeta médio,Plástico,Butano,5.26,56.84,25.59,Ignite,Recarregável
127,25053,73,1,11.39,19.44,9.175784,18,3,Modelo 73,Vermelho enegrecido,Plástico,Butano,16.38,79.45,10.21,LightUp,Premium
128,6253,41,2,57.85,14.64,98.76152,2,5,Modelo 41,Chocolate,Aço Inoxidável,Butano,38.15,81.54,50.05,Zippo,Industrial
129,23069,38,2,78.72,19.54,126.676224,20,3,Modelo 38,Escarlate,Aço Inoxidável,Butano,38.52,50.16,53.49,Fireside,Premium
130,4627,70,1,65.84,13.74,56.793584,1,3,Modelo 70,Malva,Aço Inoxidável,Butano,34.3,60.32,89.06,Bic,Premium
131,29481,91,2,12.82,8.01,23.586236,1,1,Modelo 91,Tomate,Plástico,Butano,42.35,27.35,75.87,Bic,Descartável
132,33400,57,1,83.0,5.05,78.8085,11,4,Modelo 57,Ferrugem,Plástico,Gasolina,38.76,72.4,69.91,Ignite,Decorativo
133,22021,72,1,50.48,6.55,47.17356,3,5,Modelo 72,Eminência,Aço Inoxidável,Butano,45.54,62.67,80.34,Clipper,Industrial
134,40768,57,2,43.73,10.75,78.05805,11,4,Modelo 57,Ferrugem,Plástico,Gasolina,38.76,72.4,69.91,Ignite,Decorativo
135,23446,50,1,51.26,7.29,47.523146,11,3,Modelo 50,Verde mar médio,Plástico,Butano,33.82,17.27,28.27,Ignite,Premium
136,8298,16,3,10.39,7.37,28.872771,17,1,Modelo 16,Dourado escuro,Metal,Butano,27.16,83.67,90.52,Scorch,Descartável
137,49273,63,1,51.7,15.07,43.90881,6,4,Modelo 63,Neve,Plástico,Outro,8.61,92.39,76.03,Flamme,Decorativo
138,14175,96,2,88.63,9.91,159.693534,3,3,Modelo 96,Amarelo escuro,Aço Inoxidável,Butano,16.72,16.69,26.71,Clipper,Premium
139,34604,32,2,43.11,13.78,74.338884,19,3,Modelo 32,Azul escuro,Aço Inoxidável,Gasolina,14.93,20.87,65.83,Burner,Premium
140,42852,44,2,83.24,4.52,158.95510399999998,6,5,Modelo 44,Milho Claro,Aço Inoxidável,Butano,38.34,61.79,92.2,Flamme,Industrial
141,40856,40,1,32.93,12.37,28.856559,15,1,Modelo 40,Carmim,Aço Inoxidável,Butano,28.41,87.45,39.67,Ember,Descartável
142,3321,6,1,49.77,13.48,43.061004,19,5,Modelo 6,Verde fluorescente,Aço Inoxidável,Butano,15.4,35.2,18.04,Burner,Industrial
143,45779,51,1,82.65,7.22,76.68267,1,5,Modelo 51,Amarelo queimado,Metal,Gasolina,16.55,80.54,84.17,Bic,Industrial
144,44437,91,1,37.12,16.88,30.854144,1,1,Modelo 91,Tomate,Plástico,Butano,42.35,27.35,75.87,Bic,Descartável
145,4819,55,1,61.19,14.73,52.176713,5,3,Modelo 55,Marrom,Aço Inoxidável,Butano,38.68,31.76,97.08,Djeep,Premium
146,3085,60,2,98.82,11.39,175.12880399999997,6,2,Modelo 60,Marrom rosado,Plástico,Butano,34.78,10.13,67.16,Flamme,Recarregável
147,44117,52,3,37.99,1.47,112.294641,5,4,Modelo 52,Violeta escuro,Metal,Butano,48.4,98.68,67.89,Djeep,Decorativo
148,12589,54,3,27.22,19.84,65.45865599999999,12,5,Modelo 54,Azul furtivo,Aço Inoxidável,Butano,9.93,82.09,87.58,Blaze,Industrial
149,43911,22,3,51.43,4.47,147.393237,19,4,Modelo 22,Pardo escuro,Plástico,Butano,26.48,41.3,38.75,Burner,Decorativo
150,39410,20,1,85.83,4.3,82.13931,8,2,Modelo 20,Vermelho enegrecido,Aço Inoxidável,Butano,17.95,41.8,88.93,Spark,Recarregável
151,49416,69,1,77.43,8.0,71.2356,14,4,Modelo 69,Ciano claro,Metal,Butano,9.97,63.48,56.16,Glow,Decorativo
152,22782,50,2,5.67,8.34,10.394244,11,3,Modelo 50,Verde mar médio,Plástico,Butano,33.82,17.27,28.27,Ignite,Premium
153,39616,52,4,84.69,18.12,277.376688,5,4,Modelo 52,Violeta escuro,Metal,Butano,48.4,98.68,67.89,Djeep,Decorativo
154,49632,29,3,55.8,0.68,166.26167999999998,16,1,Modelo 29,Mamão batido,Metal,Butano,14.99,62.11,89.01,Flint,Descartável
155,39754,52,3,35.15,11.13,93.713415,5,4,Modelo 52,Violeta escuro,Metal,Butano,48.4,98.68,67.89,Djeep,Decorativo
156,31681,65,1,21.0,15.62,17.7198,18,2,Modelo 65,Renda antiga,Aço Inoxidável,Butano,9.95,21.34,48.18,LightUp,Recarregável
157,17897,23,1,84.87,2.48,82.765224,14,1,Modelo 23,Oliva parda,Aço Inoxidável,Butano,10.37,23.16,28.78,Glow,Descartável
158,294,4,1,18.69,4.81,17.791011,14,1,Modelo 4,Branco,Aço Inoxidável,Gasolina,41.03,40.13,93.24,Glow,Descartável
159,31785,13,1,9.29,10.65,8.300614999999999,16,5,Modelo 13,Rosa embaçado,Metal,Butano,31.89,39.33,24.03,Flint,Industrial
160,41567,32,1,48.7,16.64,40.596320000000006,19,3,Modelo 32,Azul escuro,Aço Inoxidável,Gasolina,14.93,20.87,65.83,Burner,Premium
161,36853,81,4,36.95,14.92,125.74824,15,2,Modelo 81,Azul cadete,Plástico,Butano,26.95,32.48,18.05,Ember,Recarregável
162,41054,34,1,70.99,11.7,62.68417,3,5,Modelo 34,Salmão,Aço Inoxidável,Butano,22.36,18.56,88.57,Clipper,Industrial
163,8180,50,2,88.75,14.81,151.21225,11,3,Modelo 50,Verde mar médio,Plástico,Butano,33.82,17.27,28.27,Ignite,Premium
164,24719,1,3,6.36,19.4,15.378480000000003,5,4,Modelo 1,Verde primavera,Plástico,Butano,26.59,39.32,83.47,Djeep,Decorativo
165,14091,32,1,24.63,18.83,19.992171,19,3,Modelo 32,Azul escuro,Aço Inoxidável,Gasolina,14.93,20.87,65.83,Burner,Premium
166,30933,32,2,50.11,0.01,100.209978,19,3,Modelo 32,Azul escuro,Aço Inoxidável,Gasolina,14.93,20.87,65.83,Burner,Premium
167,28560,23,2,38.29,3.73,73.723566,14,1,Modelo 23,Oliva parda,Aço Inoxidável,Butano,10.37,23.16,28.78,Glow,Descartável
168,42804,93,4,17.92,12.65,62.612480000000005,6,5,Modelo 93,Limão,Plástico,Butano,10.95,13.39,59.85,Flamme,Industrial
169,3930,4,4,69.52,14.19,238.620448,14,1,Modelo 4,Branco,Aço Inoxidável,Gasolina,41.03,40.13,93.24,Glow,Descartável
170,30791,93,2,20.72,5.31,39.239536,6,5,Modelo 93,Limão,Plástico,Butano,10.95,13.39,59.85,Flamme,Industrial
171,18718,25,2,74.13,11.93,130.572582,1,4,Modelo 25,Coral,Plástico,Butano,47.96,38.96,55.49,Bic,Decorativo
172,12843,88,1,56.04,8.36,51.355056,3,4,Modelo 88,Rosa profundo,Metal,Butano,10.32,40.28,86.75,Clipper,Decorativo
173,48300,44,3,39.68,3.88,114.421248,6,5,Modelo 44,Milho Claro,Aço Inoxidável,Butano,38.34,61.79,92.2,Flamme,Industrial
174,39954,74,1,64.37,7.97,59.23971100000001,11,3,Modelo 74,Rosa profundo,Aço Inoxidável,Gasolina,39.65,21.48,68.97,Ignite,Premium
175,37023,25,1,11.29,11.95,9.940845,1,4,Modelo 25,Coral,Plástico,Butano,47.96,38.96,55.49,Bic,Decorativo
176,4123,28,2,95.38,16.07,160.10486799999998,1,5,Modelo 28,Cardo,Metal,Butano,33.59,11.25,21.04,Bic,Industrial
177,47336,87,1,22.23,3.06,21.549762,18,1,Modelo 87,Açafrão,Aço Inoxidável,Butano,23.51,45.38,30.83,LightUp,Descartável
178,5302,83,3,32.09,18.37,78.58520100000001,7,4,Modelo 83,Glitter,Aço Inoxidável,Butano,49.93,48.53,28.84,Luminos,Decorativo
179,8142,46,2,28.21,17.73,46.416734,12,3,Modelo 46,Azul céu profundo,Aço Inoxidável,Butano,9.4,45.96,59.09,Blaze,Premium
180,28790,90,1,86.69,4.95,82.398845,1,2,Modelo 90,Verde lima,Aço Inoxidável,Gasolina,35.29,87.1,93.78,Bic,Recarregável
181,20320,77,1,74.29,2.36,72.53675600000001,10,1,Modelo 77,Azul ardósia,Aço Inoxidável,Butano,44.8,50.3,52.29,Torch,Descartável
182,3922,86,1,57.58,17.16,47.699272,15,2,Modelo 86,Azul pólvora,Plástico,Butano,39.79,20.45,84.87,Ember,Recarregável
183,5665,79,3,44.69,15.09,113.83883699999998,13,3,Modelo 79,Rosa amoroso,Metal,Butano,18.18,59.53,17.58,Flicker,Premium
184,23542,97,3,74.66,4.92,212.960184,6,3,Modelo 97,Branco,Metal,Butano,41.95,58.96,59.42,Flamme,Premium
185,10969,62,1,79.53,0.61,79.044867,12,3,Modelo 62,Neve,Aço Inoxidável,Butano,19.55,51.59,93.57,Blaze,Premium
186,18082,85,2,22.49,11.36,39.87027199999999,16,5,Modelo 85,Oliva escura,Plástico,Butano,48.13,51.68,40.8,Flint,Industrial
187,49885,84,3,44.41,6.76,124.223652,13,3,Modelo 84,Ciano,Aço Inoxidável,Butano,21.12,47.29,82.43,Flicker,Premium
