IsqueiroUsuarioID,UsuarioID,ItemCompraID,NumeroSerie,Apelido,DataCompra,DataPrimeiroUso,StatusAtual,LocalAtual,DataUltimaLocalizacao,CombustivelAtual,DataCriacao,DataAtualizacao
11,1215,31527,1756583160653,occaecati,2025-01-11 06:52:49.779965,2024-01-22 13:35:46.178981,Perdido,"Vereda Miguel Viana
Minas Caixa
45930644 Machado das Flores / AL",2025-04-21 12:51:02.815578,24.71,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
12,5614,30550,6425229650296,facere,2024-07-01 09:12:43.512821,2024-07-25 16:28:34.433999,Perdido,"Passarela Aparecida, 81
Inconfidência
68017-467 Montenegro / RR",2024-12-04 15:18:42.167400,26.51,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
13,9975,53610,6802542370689,quod,2024-06-11 19:37:45.637407,2025-05-28 16:41:03.020117,Em Uso,"Conjunto de Lopes, 14
Aparecida 7ª Seção
30507-527 Cirino / BA",2025-02-28 17:24:30.581713,2.07,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
14,2327,40882,0033579875670,incidunt,2024-05-12 21:55:35.363919,2023-12-06 05:10:55.201673,Em Uso,"Viela de da Cruz, 418
Pompéia
98488-871 Camargo / MT",2024-11-22 09:23:56.054610,12.61,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
15,7593,53539,5448916768648,odit,2023-12-27 04:55:31.789232,2025-03-25 21:43:59.445004,Descartado,"Travessa de Silveira, 7
Lajedo
97869783 Vargas / MT",2024-10-14 00:28:18.210999,7.48,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
16,7845,3629,9979412860322,dicta,2024-06-25 07:56:52.214106,2024-03-11 16:12:34.297827,Quebrado,"Jardim Vitória Pastor, 95
Nazare
58134356 Moura / AM",2024-10-15 10:34:53.752776,28.97,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
17,6445,35110,4688182574821,facere,2024-12-11 22:10:32.645884,2025-04-27 07:26:31.854768,Em Uso,"Estrada Léo da Rosa
Vila Bandeirantes
72385544 Mendes / AL",2025-03-07 21:28:25.633592,45.46,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
18,1568,29598,4927223311538,accusantium,2024-03-14 01:09:33.126106,2024-09-01 02:07:35.328067,Em Uso,"Sítio Andrade, 23
São Tomaz
62688267 Viana / PR",2025-01-29 13:52:19.210925,34.97,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
19,898,18547,4077798025634,perspiciatis,2025-04-27 23:41:02.768882,2025-01-13 18:31:39.935568,Perdido,"Recanto Jesus, 536
Vila Paquetá
20657652 Aparecida / MA",2025-02-28 04:29:44.127490,43.81,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
20,1401,53663,6737898129288,minima,2023-08-03 09:38:42.433087,2024-10-21 02:27:42.672630,Em Uso,"Alameda de Monteiro, 70
São Geraldo
41337-628 Moreira / CE",2025-06-23 17:43:16.385275,11.33,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
21,9651,25935,2407592033580,hic,2025-01-31 18:11:41.133110,2023-09-05 05:56:29.140141,Novo,"Vila Souza, 14
Bacurau
42449748 Castro do Galho / BA",2025-01-07 16:51:54.238238,45.22,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
22,7198,59211,4996171284577,at,2024-06-26 10:36:05.410452,2025-01-08 03:15:15.438764,Em Uso,"Trevo de Araújo, 842
Lagoa
56804537 Fogaça / RO",2025-04-02 20:36:39.300383,34.12,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
23,440,48059,3522366151051,illo,2024-05-02 01:24:48.922058,2023-08-30 14:57:10.847321,Em Uso,"Fazenda Henry Gabriel Moraes, 6
Embaúbas
08982-944 Ferreira de Nascimento / TO",2024-09-10 04:12:00.871936,40.21,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
24,9237,49883,2734515626421,ullam,2023-12-20 15:14:21.970030,2025-04-20 08:50:56.824601,Perdido,"Área de Rocha, 1
Petropolis
75813648 Sá do Sul / PB",2025-01-30 04:50:33.439340,6.42,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
25,2447,46568,6915725742699,dolorem,2024-06-12 12:49:49.269849,2023-11-28 07:30:49.282063,Em Uso,"Via Maitê Nogueira, 34
Barão Homem De Melo 3ª Seção
30287-859 Rocha / AP",2025-04-17 18:47:50.889677,11.19,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
26,6309,244,0740691291133,quaerat,2023-11-11 09:50:14.299137,2023-10-19 08:50:40.319280,Perdido,"Sítio Sousa, 46
Santa Monica
89069-431 Moura / PA",2025-03-21 08:08:58.868053,15.31,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
27,9170,54735,5494848325206,quas,2024-04-24 22:47:36.374373,2024-06-21 08:51:24.469522,Em Uso,"Loteamento Enzo Campos, 87
Vila Paris
96549-923 Aragão do Sul / TO",2024-11-24 17:24:10.960428,48.99,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
28,4846,38494,6760219742378,vel,2024-07-06 20:54:45.401031,2024-05-12 06:46:49.298987,Perdido,"Largo Eduarda Jesus, 45
Lindéia
71458086 Albuquerque / PI",2024-10-12 13:29:26.097286,17.15,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
29,2366,37586,9742830085727,qui,2024-01-25 06:24:57.865501,2025-01-09 21:14:00.533166,Descartado,"Área de Campos, 3
Gutierrez
01263560 Barbosa / MA",2025-02-15 09:18:25.111566,14.09,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
30,5026,50895,0160568086066,reprehenderit,2024-02-13 12:48:36.376442,2024-12-28 15:09:41.455462,Perdido,"Viela Allana Vargas, 49
Vila Havaí
95964-232 Costa de Castro / AM",2024-12-21 13:41:17.534563,1.39,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
31,5605,7075,0795027593580,est,2024-03-12 23:32:03.353699,2025-01-01 16:17:54.685223,Em Uso,"Chácara Sara Cirino, 328
Granja Werneck
54413-449 Monteiro das Pedras / RN",2025-02-23 21:24:33.309692,45.82,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
32,9484,5548,6134096395277,voluptatem,2024-01-17 11:18:04.895107,2024-07-27 13:34:06.464668,Em Uso,"Avenida Cavalcante, 90
Concórdia
38915-646 Abreu / AP",2025-02-28 12:09:34.421648,21.96,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
33,8455,1095,3569833348507,ducimus,2025-02-05 03:21:16.159438,2024-03-17 04:27:34.216317,Perdido,"Quadra Nunes, 25
Lagoinha Leblon
54350-373 Rocha / TO",2025-01-30 17:52:12.942684,17.77,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
34,220,54971,6242528024227,repellendus,2024-05-24 09:57:59.528902,2024-09-03 04:14:17.100045,Em Uso,"Recanto de Freitas, 71
Conjunto Minas Caixa
73384-905 Siqueira das Pedras / RS",2025-01-07 17:03:25.857354,34.41,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
35,3618,1655,7132555019152,quia,2025-06-19 20:38:02.131186,2024-10-22 05:55:13.343043,Em Uso,"Rua Mendonça, 77
Novo São Lucas
81404-579 Martins / PB",2025-02-11 11:30:43.767433,25.29,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
36,6500,59740,2187294874918,temporibus,2024-08-31 17:57:02.882865,2024-05-28 21:29:31.438101,Em Uso,"Loteamento de Lima, 206
Vera Cruz
17824110 Pires de Rodrigues / DF",2024-12-26 21:02:41.566628,21.83,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
37,690,27637,8553357797434,culpa,2024-07-07 20:16:32.346446,2024-10-30 21:12:19.884868,Em Uso,"Distrito Abreu
Monte São José
20341-602 Sá do Oeste / PB",2024-10-02 17:51:32.279261,37.8,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
38,1862,10102,5118313934679,labore,2024-04-15 00:13:05.777416,2024-02-27 01:51:49.544329,Novo,"Travessa Zoe Lima, 975
Indaiá
44961-714 da Rocha das Pedras / SE",2025-03-03 08:46:37.500865,11.89,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
39,5700,50121,0867500209025,sint,2024-05-26 00:34:44.905498,2024-01-02 07:29:55.381032,Em Uso,"Trecho Alícia Martins, 904
Alto Das Antenas
84110-029 da Rocha / PR",2025-05-11 13:27:17.020105,43.91,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
40,7470,8415,0680081968941,consequatur,2023-09-07 18:41:09.159272,2025-06-28 06:09:38.397037,Em Uso,"Morro de Câmara, 2
Vila Paquetá
81444928 Montenegro dos Dourados / AL",2024-10-02 07:46:31.569647,7.16,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
41,3887,56251,7340187238982,commodi,2024-10-12 10:14:59.810456,2025-07-04 08:07:21.408469,Em Uso,"Alameda de Castro, 20
Conjunto Floramar
04351301 da Cunha da Prata / PR",2024-08-21 16:56:37.920706,31.36,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
42,8916,5819,5036622106320,occaecati,2024-09-29 23:58:18.353431,2025-05-28 08:08:56.340918,Novo,"Vila Anthony Gabriel Barbosa, 61
Camponesa 1ª Seção
22656354 Cardoso do Amparo / RO",2024-12-08 07:44:49.329717,22.31,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
43,9001,42436,3352130016831,quos,2024-03-22 18:22:35.062991,2024-02-12 21:30:53.896136,Novo,"Morro Bernardo Vasconcelos, 954
Jardim São José
94045099 das Neves do Oeste / ES",2025-01-08 16:37:22.237369,18.27,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
44,8194,32611,7146524574504,rem,2025-01-29 04:52:20.847579,2023-08-13 21:58:40.146251,Em Uso,"Fazenda de Nascimento, 69
Minas Caixa
20870-519 da Mata Verde / AP",2025-01-16 15:20:37.710882,5.51,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
45,7536,27965,7212584342558,voluptates,2024-03-14 00:19:51.904202,2024-01-16 20:25:25.558301,Novo,"Trevo Santos, 997
Santa Inês
02803-527 Martins / SE",2025-01-27 23:47:07.254511,3.62,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
46,9210,53702,3720439496164,excepturi,2024-05-24 06:25:47.830363,2025-03-21 16:16:15.800138,Perdido,"Viela de Cardoso, 251
Mineirão
32007285 Moreira do Oeste / PR",2025-05-03 12:08:51.796356,45.92,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
47,3414,9552,5002737346142,sequi,2023-09-17 19:47:06.734996,2024-03-10 01:43:56.813650,Perdido,"Favela Peixoto, 21
Santa Inês
30296951 Novais / AP",2025-07-13 06:49:10.175990,21.15,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
48,158,23398,7789835529476,libero,2023-12-09 15:20:41.497772,2024-05-25 23:09:23.688042,Perdido,"Rua Silva, 92
Marmiteiros
31894-022 Nascimento de Minas / AM",2025-04-29 21:15:05.040232,41.59,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
49,6235,10379,2513107015092,placeat,2023-10-30 13:49:30.947295,2024-06-01 11:19:24.484182,Perdido,"Campo Yan Aparecida, 48
Belmonte
48420-371 Casa Grande / MT",2025-01-13 01:55:09.675772,0.62,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
50,8120,9141,2598769718192,excepturi,2023-08-11 18:09:46.449586,2024-01-09 03:16:47.892857,Em Uso,"Vereda da Rosa
Vila Suzana Primeira Seção
00537-934 da Paz das Pedras / SC",2025-06-15 04:51:57.956050,0.99,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
51,4208,28217,4759048420764,consequuntur,2024-10-13 02:53:34.297751,2025-07-03 06:33:43.303060,Novo,"Lagoa de Nunes, 49
Nova Pampulha
04815-476 Barbosa de da Paz / MG",2024-12-21 17:53:10.079785,47.76,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
52,8334,56001,0431776484150,commodi,2025-02-17 14:20:32.579221,2025-05-23 11:02:13.381061,Em Uso,"Passarela de da Cruz
São Lucas
83882972 Monteiro da Serra / CE",2024-10-19 19:17:43.672769,6.13,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
53,7963,24404,8069816688484,voluptatum,2024-01-22 01:15:13.812748,2024-12-28 23:24:33.057641,Em Uso,"Quadra Vargas, 794
Santo André
43048-107 Moraes / PR",2025-05-22 13:13:36.061226,48.01,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
54,278,16312,7046014400606,exercitationem,2024-01-17 06:57:17.884738,2023-09-29 21:18:13.724626,Em Uso,"Esplanada Aparecida, 848
Santa Efigênia
32555-136 Pacheco / MS",2025-05-17 23:31:05.500609,4.58,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
55,7109,5188,6405287024857,commodi,2024-11-16 04:50:10.352015,2024-05-01 18:49:24.594852,Em Uso,"Rodovia Nogueira
Tiradentes
89024-925 Machado Verde / RN",2024-12-11 19:11:28.702725,10.21,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
56,2422,21779,8873188571929,harum,2023-11-27 12:36:39.305402,2024-03-13 02:06:57.263816,Em Uso,"Quadra Giovanna Peixoto, 52
Horto
23539-642 Monteiro / GO",2025-01-02 01:26:18.501963,14.2,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
57,4137,40990,6958279590347,ut,2024-06-18 10:22:20.524359,2025-06-09 21:11:17.862796,Em Uso,"Alameda Lorenzo Vasconcelos
Jardim Montanhês
31790463 Novaes de Freitas / PB",2024-08-13 04:34:52.878085,36.8,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
58,6044,14360,7695695586262,sunt,2023-08-28 16:28:58.809729,2024-11-28 01:07:39.817197,Em Uso,"Estação João Miguel Fogaça, 23
Vila Da Luz
55119535 Monteiro da Serra / PA",2025-05-18 12:30:05.848697,41.88,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
59,236,25979,8912315505229,non,2024-01-05 22:21:47.134459,2024-01-10 17:16:01.777742,Em Uso,"Trevo Pacheco, 56
Nova Esperança
44616905 Barbosa / MG",2024-11-01 10:45:05.115920,0.03,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
60,8716,29530,5263999031379,hic,2023-11-02 04:00:08.024712,2025-07-04 08:58:20.858907,Novo,"Vereda Ferreira, 779
Túnel De Ibirité
03927026 Rodrigues / SE",2025-04-26 22:46:38.498611,19.92,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
61,3582,43304,1645356003344,repellendus,2024-07-23 03:20:51.363348,2023-10-26 07:47:09.381058,Em Uso,"Conjunto Eduarda Oliveira, 5
Conjunto Bonsucesso
04686-427 Câmara do Campo / BA",2025-07-08 15:45:38.333671,49.11,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
62,6850,53111,8632262354366,laudantium,2024-09-24 14:07:54.981270,2023-11-03 20:08:47.681395,Novo,"Trecho de Pires, 70
Maria Helena
33442-768 Teixeira / ES",2025-05-26 15:02:51.859569,17.97,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
63,1943,59872,4263391036669,aliquid,2025-05-20 16:41:38.802780,2024-02-19 00:34:49.578595,Perdido,"Conjunto de Aragão, 374
Beija Flor
72639-406 Nunes / CE",2025-04-08 17:51:42.392528,45.92,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
64,3431,39019,5803126090345,recusandae,2025-05-26 17:58:49.173122,2025-01-06 02:16:10.102224,Perdido,"Passarela de Correia, 843
Vila Madre Gertrudes 1ª Seção
47846212 da Cunha do Sul / PR",2025-01-21 07:15:45.404383,37.7,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
65,671,672,5685938697260,dolor,2025-03-11 20:31:55.988539,2024-04-12 00:23:34.279307,Em Uso,"Trevo Moreira, 79
Havaí
77805354 Silva / AM",2025-07-06 14:46:35.967609,40.19,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
66,5169,32071,1476975292273,dolorem,2024-05-15 12:10:45.924934,2024-06-29 20:44:58.830115,Em Uso,"Loteamento de Ribeiro, 30
Boa Vista
26784-331 Lopes da Serra / PA",2025-05-20 05:36:19.253253,26.13,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
67,6412,12025,3772829180535,quis,2024-12-29 14:38:01.761176,2023-08-25 05:17:41.463764,Em Uso,"Fazenda de Pinto, 438
Piraja
68848-359 Martins / RJ",2024-09-20 17:09:33.904883,32.75,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
68,5832,21558,3532817794317,mollitia,2024-12-27 19:10:02.495185,2024-03-08 11:10:55.092245,Perdido,"Passarela de Rodrigues, 39
Rio Branco
18245440 Barros de Pastor / SP",2024-12-24 15:02:01.833930,28.25,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
69,1544,57526,9074325969626,corrupti,2024-10-14 03:58:02.292890,2023-11-01 07:11:34.639806,Perdido,"Ladeira Jesus, 6
Santa Helena
29320-108 Vargas de da Cunha / AC",2025-05-31 15:44:50.812332,14.66,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
70,9631,41056,9173205128693,amet,2025-07-08 21:53:13.054533,2024-05-16 18:23:31.993660,Em Uso,"Largo de Ribeiro, 24
São Cristóvão
65168-687 Moura das Flores / MT",2024-09-02 04:05:51.875401,33.8,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
71,7503,8234,3448646809583,nostrum,2023-08-27 22:53:17.814926,2025-05-03 11:02:04.101215,Perdido,"Colônia Raquel da Costa, 30
São Lucas
16533669 Vargas / DF",2025-03-16 10:30:18.737749,26.89,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
72,3394,11634,5728544773598,dicta,2024-09-06 12:58:09.733440,2025-02-14 20:31:29.868701,Quebrado,"Aeroporto da Luz, 41
Conjunto Califórnia Ii
69315-365 Caldeira / PB",2024-10-06 17:06:00.301030,18.15,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
73,3903,14025,0053107274119,inventore,2024-03-01 22:52:24.635966,2024-10-08 23:49:16.733370,Em Uso,"Vereda da Cruz, 48
Nossa Senhora Do Rosário
97322-897 Aparecida / SC",2025-02-21 08:56:49.538159,31.03,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
74,1065,23705,1371301442240,nesciunt,2024-12-24 00:18:19.649676,2023-12-07 04:29:34.661193,Quebrado,"Setor Ayla Vasconcelos, 60
Graça
06895-508 Vargas Grande / AM",2025-04-16 03:10:56.063627,7.12,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
75,4433,258,5044576006764,eaque,2025-07-21 17:23:31.567910,2023-09-04 16:39:47.178853,Em Uso,"Aeroporto Brito, 6
Funcionários
99447-242 Nunes de Almeida / PE",2025-04-15 11:19:42.028481,13.22,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
76,7172,24756,4919254883207,ipsam,2023-11-13 21:54:03.960155,2025-07-22 21:35:01.418466,Em Uso,"Quadra de Pastor, 93
Mineirão
65934-925 Viana da Prata / ES",2025-05-17 23:23:34.773894,31.53,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
77,4236,43982,8014886319929,alias,2025-05-24 12:07:36.026060,2025-02-25 23:50:41.230279,Novo,"Residencial Olívia Teixeira, 36
Embaúbas
20429-575 Rocha / MS",2024-10-11 23:00:09.601913,37.39,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
78,889,40321,2275011441373,debitis,2023-10-20 04:52:09.643125,2024-12-04 23:45:17.717456,Quebrado,"Passarela de da Cruz, 5
Jonas Veiga
29269298 Moura de Fonseca / SC",2025-04-15 16:02:19.815332,31.2,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
79,2266,15360,9733850714018,delectus,2024-12-22 15:00:48.623655,2024-01-05 07:31:31.385943,Em Uso,"Trevo de Cavalcante, 4
Vila Esplanada
68596-549 Porto do Oeste / ES",2025-05-09 17:21:23.980939,47.64,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
80,7543,44581,8831656302338,architecto,2024-06-17 18:14:31.334403,2025-07-15 05:44:48.726877,Perdido,"Praia Apollo Pinto, 55
Novo Das Industrias
06823980 da Rocha de Cavalcanti / BA",2025-04-08 15:23:41.316050,33.24,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
81,9217,17420,7280388398088,doloribus,2024-05-21 18:57:19.983883,2024-08-15 09:19:07.368695,Novo,"Viaduto Paulo Ferreira, 86
São Gabriel
14197691 Barros de Moura / RO",2024-10-10 15:00:14.061846,49.29,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
82,5012,34914,1921762811279,suscipit,2024-06-05 18:21:59.539879,2025-02-14 18:10:08.317580,Perdido,"Distrito Andrade, 239
Vila Suzana Segunda Seção
78055-147 Almeida / BA",2024-09-20 19:08:36.578693,4.98,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
83,2233,32342,8608644006550,sed,2024-03-24 21:49:00.986777,2024-05-24 16:54:43.378712,Quebrado,"Quadra Levi Dias, 8
Comiteco
67249-169 da Rosa dos Dourados / MG",2025-07-05 16:29:00.037766,13.81,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
84,8798,21077,8639405392537,cumque,2025-06-03 19:02:37.075750,2025-02-06 22:53:05.762677,Em Uso,"Setor Nicole Jesus, 59
Vila Atila De Paiva
70672-630 Brito / MT",2024-11-15 01:56:02.935399,34.36,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
85,966,4475,4647959758765,laudantium,2023-10-21 02:58:14.674562,2025-02-17 01:13:38.181523,Perdido,"Parque Pastor, 83
Alípio De Melo
13500690 Oliveira Grande / PR",2025-04-14 11:42:38.045939,22.89,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
86,6798,38459,1102644404592,voluptatem,2025-01-13 11:35:08.735183,2023-10-26 16:35:33.523905,Perdido,"Estação Natália Guerra, 1
Novo São Lucas
70309239 Silva de Marques / RN",2025-03-06 14:33:26.228802,34.27,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
87,560,31899,2419263419746,natus,2024-11-12 16:05:25.504768,2024-08-18 10:42:47.195432,Em Uso,"Esplanada Caldeira, 3
Penha
44492146 da Luz de Minas / RO",2025-07-13 12:17:15.604511,25.77,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
88,2352,25614,0369201983865,nulla,2024-10-02 15:57:50.145804,2025-07-21 04:11:43.681521,Em Uso,"Sítio Gabriel Lima
Conjunto Jardim Filadélfia
13998-952 Garcia / PI",2025-07-29 03:21:13.423558,27.22,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
89,127,18149,0749853052247,nam,2024-08-31 18:20:50.686609,2025-02-06 19:16:23.287074,Novo,"Conjunto Garcia, 15
Vila Petropolis
90476-486 Cirino de Fonseca / PE",2025-06-10 22:15:00.970448,45.38,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
90,690,50418,2804446170062,nisi,2024-08-16 08:35:55.205169,2023-11-03 12:44:43.891247,Novo,"Sítio Diogo Castro, 5
Marieta 2ª Seção
95467797 Machado de Carvalho / TO",2025-01-30 23:58:05.795480,35.57,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
91,8586,46172,9521366588502,modi,2023-10-14 02:13:32.705510,2025-01-06 06:04:41.559290,Em Uso,"Campo Laura Vasconcelos, 59
Marieta 3ª Seção
24056-064 da Cunha do Campo / RJ",2025-02-23 19:28:15.263066,32.98,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
92,8113,59128,8659929361444,voluptatibus,2024-04-08 05:16:51.547309,2024-08-13 01:34:30.265112,Em Uso,"Aeroporto Nunes, 25
Vila Betânia
81629-243 Pinto / AC",2025-05-15 05:18:01.088451,32.23,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
93,2860,37079,9520726754427,reprehenderit,2024-09-23 11:17:50.309890,2023-10-09 09:40:07.372523,Em Uso,"Largo de Guerra, 44
Vila Aeroporto
11071-098 Farias do Galho / SC",2025-07-15 11:05:31.283055,43.84,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
94,5370,30060,9104943054593,dolorem,2024-06-26 13:16:20.217402,2023-10-21 14:42:12.167958,Em Uso,"Setor de Barbosa, 52
São Jorge 1ª Seção
93803823 Ribeiro do Oeste / AL",2025-06-28 18:56:26.627734,41.14,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
