HistoricoID,IsqueiroUsuarioID,LocalID,DataHoraRegistro,TipoEvento,Latitude,Longitude,Descricao,ConfiabilidadeLocalizacao,DataCriacao
53,24202,128,2024-09-02 21:49:05.134796,Perdido,-23.406654736098144,-46.64150178734646,"Facilis itaque deleniti. Quidem blanditiis unde commodi.
Voluptatem deleniti corporis aliquid culpa voluptate tempore. Maxime sunt pariatur.",0.3,2025-07-29 19:52:08.798653
54,31529,292,2025-01-13 07:27:07.530130,Perdido,-23.688985233051824,-46.72659025332692,Totam nihil quod repellat. Eos saepe laudantium quia eveniet consectetur.,0.6,2025-07-29 19:52:08.798653
55,19144,830,2024-06-19 16:19:32.579832,Guardado,-23.65742695567419,-46.65236094305248,"Nemo pariatur nostrum. Quidem perspiciatis nemo nisi.
Ex fugit praesentium asperiores. Dolorum fuga id ducimus.",0.78,2025-07-29 19:52:08.798653
56,2334,189,2024-04-25 22:46:06.320303,Movido,-23.45361858402507,-46.56688056609323,"Excepturi ut voluptates quas.
Dicta asperiores illo beatae fugiat modi. Doloremque sunt optio sit molestias.",0.56,2025-07-29 19:52:08.798653
57,56378,934,2024-01-09 07:58:26.490885,Encontrado,-23.414463916200127,-46.79210622380403,Deleniti voluptatibus vero culpa eos. Autem temporibus alias quas iste consectetur. Rem qui magnam similique at veniam enim. Beatae quasi laborum esse rerum eum.,0.16,2025-07-29 19:52:08.798653
58,15300,715,2025-03-22 13:05:21.224683,Movido,-23.42227155517805,-46.787414545663104,Aperiam omnis quae ipsa inventore. Odit alias eum recusandae expedita. Ullam fugit a expedita autem animi numquam. Sit porro repellendus laborum sint rem laudantium.,0.7,2025-07-29 19:52:08.798653
59,11647,295,2024-06-22 03:27:32.261822,Perdido,-23.649380010781087,-46.70093968151654,"Laborum consequatur alias quos numquam voluptate odit. Odio sapiente vitae.
Possimus ratione temporibus praesentium.",0.74,2025-07-29 19:52:08.798653
60,47243,661,2023-12-28 15:55:53.518893,Perdido,-23.436084522611395,-46.557145195942816,Quibusdam facilis atque veritatis laudantium ducimus aliquid rerum. Aperiam mollitia aut voluptatibus eum ducimus.,0.76,2025-07-29 19:52:08.798653
61,1699,998,2024-07-08 05:45:06.179543,Perdido,-23.431142503920295,-46.55040867180235,Molestiae earum quisquam voluptatum doloribus labore ducimus quos.,0.05,2025-07-29 19:52:08.798653
62,19665,492,2025-05-03 10:51:46.090308,Perdido,-23.45280657017708,-46.67552112822656,Debitis quaerat quaerat dolor. Magnam quo possimus odit. Delectus aperiam quasi cum nemo velit reiciendis. Repudiandae accusantium error repellendus qui quasi.,0.01,2025-07-29 19:52:08.798653
63,52084,614,2025-03-15 03:08:22.150651,Encontrado,-23.63794020546854,-46.7571794531928,Suscipit sapiente similique velit similique doloremque nobis. Doloremque quae quasi quam quas. Id nisi sit iure voluptatem magni aliquid.,0.4,2025-07-29 19:52:08.798653
64,45402,57,2023-12-04 02:16:18.684362,Guardado,-23.453076122822317,-46.59926492457932,Sed officiis ducimus quae. Praesentium possimus incidunt optio nam a.,0.22,2025-07-29 19:52:08.798653
65,27746,104,2024-08-10 23:55:56.907363,Guardado,-23.67307319263927,-46.63829148768042,"Tempora provident voluptas.
Occaecati ratione laudantium necessitatibus inventore vitae. Culpa animi laborum repellendus quo eligendi dolores. Itaque necessitatibus velit facilis voluptas.",0.29,2025-07-29 19:52:08.798653
66,40143,27,2025-03-19 10:56:50.129976,Encontrado,-23.474496075702948,-46.5910296567361,"Neque minus omnis. Quisquam saepe debitis omnis. Eligendi illum nobis fugiat vero repudiandae reiciendis.
Ullam molestiae dicta alias eius explicabo quisquam ipsam. Nisi tempore iure ab eius.",0.55,2025-07-29 19:52:08.798653
67,45922,73,2023-09-08 11:13:12.674088,Perdido,-23.543340329544908,-46.787921564827826,Ullam cupiditate laborum nihil. Incidunt aliquam tempora rem. Sit recusandae harum eligendi soluta eveniet.,0.56,2025-07-29 19:52:08.798653
68,6373,606,2024-08-12 06:43:39.284495,Encontrado,-23.668335397750763,-46.52427267086091,Nam officia autem voluptas a nihil quaerat mollitia. Voluptatum suscipit aliquid. Earum fugiat atque corrupti repellendus distinctio.,0.57,2025-07-29 19:52:08.798653
69,53914,915,2023-08-11 18:03:00.055224,Perdido,-23.45716757895345,-46.64201663345727,Esse nihil illum repellendus assumenda eligendi error. Nemo doloremque possimus hic ducimus cupiditate. Vel odio aut dicta.,0.56,2025-07-29 19:52:08.798653
70,49715,561,2023-08-12 01:25:55.177212,Perdido,-23.668155353661472,-46.70756058753583,Sit ipsa mollitia iste eveniet. Perspiciatis voluptatibus fuga voluptates quo nobis aliquam. In quia quia debitis repudiandae.,0.45,2025-07-29 19:52:08.798653
71,56201,477,2024-02-07 00:01:31.213566,Perdido,-23.685901467237617,-46.53046212903427,"Repellat totam voluptatem sunt accusamus. Ut totam perferendis repudiandae delectus saepe.
Error quod sed beatae corrupti quo. Aut doloribus officia aliquam mollitia sunt.",0.06,2025-07-29 19:52:08.798653
72,59243,234,2024-06-04 17:35:01.356256,Encontrado,-23.59249285225952,-46.52472087703133,"Optio perferendis tempora at. Nulla deserunt provident porro dolores.
Temporibus nisi provident aliquam excepturi aliquid placeat. Ipsa minima mollitia quo tenetur quam amet. Omnis earum optio.",0.41,2025-07-29 19:52:08.798653
73,13403,395,2024-08-24 20:32:47.450478,Movido,-23.64054076373233,-46.7602875452185,"Necessitatibus commodi sunt quam tenetur quidem odit quam.
Quas eos voluptas aperiam. Ipsum necessitatibus corporis omnis labore. Reprehenderit aperiam amet.
Praesentium dolores odio ea neque.",0.1,2025-07-29 19:52:08.798653
74,16434,550,2024-02-19 20:33:12.002871,Encontrado,-23.564565882056126,-46.62576583896105,Animi odio recusandae velit vitae. Exercitationem molestiae perspiciatis officia nesciunt. Nesciunt ipsam illum quasi tempore consectetur assumenda.,0.48,2025-07-29 19:52:08.798653
75,19581,396,2023-11-18 20:30:31.887289,Movido,-23.533446006612444,-46.7980616967116,Harum quibusdam nobis itaque accusamus odit commodi. Ratione sed sed. Accusamus culpa quam amet dicta eligendi. Ad beatae aperiam repellendus consequuntur.,0.56,2025-07-29 19:52:08.798653
76,29637,416,2024-09-09 06:54:07.402374,Perdido,-23.65244563621477,-46.66696411822616,"Ut assumenda quaerat sed blanditiis. Praesentium quia quos suscipit quibusdam omnis vel.
Veritatis laboriosam minima facilis itaque repellendus vitae. Impedit ipsum sint error officia sed.",0.71,2025-07-29 19:52:08.798653
77,44940,331,2025-04-15 15:22:46.836123,Perdido,-23.49602040521419,-46.55456942106021,Accusamus enim eos animi totam deleniti est. Possimus non repellendus laborum.,0.0,2025-07-29 19:52:08.798653
78,38724,682,2024-03-07 07:54:38.690851,Perdido,-23.4811400313646,-46.62204481244917,"Maxime at illum debitis. Mollitia non similique dolor inventore.
Sequi neque fuga quia facilis. Vel accusamus aliquid. Aperiam error minus beatae.",0.55,2025-07-29 19:52:08.798653
79,51025,585,2024-06-08 12:55:43.815058,Perdido,-23.59568778578883,-46.6312254782162,Quas quia dolores hic libero eius iure nobis. Quaerat incidunt excepturi ullam repellendus. A itaque delectus qui mollitia quae officia.,0.04,2025-07-29 19:52:08.798653
80,49952,358,2024-02-07 06:41:42.952672,Guardado,-23.436714193509903,-46.7202392979921,Doloribus velit ad quaerat repellat quis. Quae eligendi quaerat adipisci inventore ipsam. Consectetur a repudiandae maxime.,0.29,2025-07-29 19:52:08.798653
81,28365,751,2025-02-23 07:05:55.585357,Perdido,-23.479179018793673,-46.739216461564325,"Vel corrupti sit aperiam cumque esse. Laborum a aliquid ad quibusdam repellendus dignissimos voluptatem.
Doloremque dolor quas suscipit asperiores deserunt aperiam. Quasi molestiae alias a.",0.76,2025-07-29 19:52:08.798653
82,11816,585,2024-05-05 07:12:14.560784,Encontrado,-23.505050715982204,-46.71729219504995,Quas sed temporibus ad eum commodi enim beatae. Quia saepe repellendus doloremque voluptatem quam accusantium. Occaecati praesentium necessitatibus neque nemo fugit. Illo quasi alias numquam.,0.63,2025-07-29 19:52:08.798653
83,54504,639,2023-11-29 22:47:20.273556,Perdido,-23.65413703794107,-46.77790518308772,Sequi laborum eaque non quia. Ad eveniet facilis cupiditate quae rem molestiae. Esse voluptatum ea saepe placeat.,0.05,2025-07-29 19:52:08.798653
84,57720,149,2025-07-24 22:52:48.549156,Movido,-23.624869213168655,-46.69502635535558,Repellat aliquid quisquam labore repellat animi quas. Nulla doloremque nesciunt ad quidem adipisci.,0.07,2025-07-29 19:52:08.798653
85,52916,623,2024-10-11 23:59:24.986480,Guardado,-23.418606216291664,-46.58658545288265,Aliquid repudiandae laborum occaecati corporis et laudantium. Commodi consequatur cumque.,0.76,2025-07-29 19:52:08.798653
86,39823,88,2025-04-19 08:16:14.382161,Perdido,-23.591920974048872,-46.55143868050336,"Accusantium veritatis consequatur reprehenderit cumque minus. Corporis rerum recusandae aliquam sed.
Eligendi cum et ratione magnam blanditiis. Dolore alias magnam sunt doloribus.",0.81,2025-07-29 19:52:08.798653
87,8579,395,2025-05-07 06:57:31.392492,Encontrado,-23.67912735987691,-46.69178963310389,Id magni accusamus nostrum eveniet id repellendus. Reprehenderit voluptatum vel dolor eum perferendis necessitatibus veniam. Voluptatem suscipit aspernatur illum corrupti molestias facere omnis.,0.44,2025-07-29 19:52:08.798653
88,8091,234,2023-12-27 11:23:06.825211,Guardado,-23.667858623330464,-46.53624369693106,"Repellendus blanditiis officiis commodi optio nobis magni. Consequatur voluptatum voluptates eaque deserunt.
Nemo in quas necessitatibus doloremque similique. Incidunt assumenda repellat quia.",0.04,2025-07-29 19:52:08.798653
89,3443,805,2024-04-24 03:19:21.808837,Perdido,-23.420216781792483,-46.74807048921222,Omnis placeat veritatis similique. Atque asperiores impedit labore fugiat. Eum dolore quis sunt. Consequuntur iusto quasi pariatur fugit.,0.65,2025-07-29 19:52:08.798653
90,31429,383,2024-12-11 16:16:51.670992,Encontrado,-23.496345098191345,-46.66261402415947,"Culpa quam porro incidunt ullam architecto iusto. Veniam quos nam aliquam in. Provident cupiditate error.
Atque laudantium non possimus enim maiores facilis. Minus optio unde.",0.32,2025-07-29 19:52:08.798653
91,44958,167,2023-09-08 01:11:10.192756,Movido,-23.541361284868437,-46.61251234055918,Cupiditate officiis aspernatur animi. Commodi ratione ipsam provident officiis error.,0.18,2025-07-29 19:52:08.798653
92,29449,924,2023-09-17 02:26:53.657112,Perdido,-23.57503664014781,-46.61885872756577,Quod illum alias ab. Ratione nesciunt laudantium molestias fuga. Veritatis itaque numquam voluptatum minus tempore quod.,0.72,2025-07-29 19:52:08.798653
93,34037,36,2024-05-07 23:55:50.985622,Movido,-23.56670859802793,-46.717483313974206,"Quidem voluptatem dolor dolorum possimus culpa. Hic neque reiciendis excepturi repellendus commodi.
Sapiente recusandae libero tenetur. Alias molestias aperiam veritatis rerum.",0.38,2025-07-29 19:52:08.798653
94,52356,459,2024-03-21 15:40:00.687381,Guardado,-23.628807501617743,-46.596021594343775,"Iste aliquid eos ex atque beatae. Dolorum delectus beatae eveniet laudantium veritatis quis ut.
Ullam ab blanditiis. Autem repudiandae sed explicabo omnis aut velit.",0.54,2025-07-29 19:52:08.798653
95,7369,856,2024-11-22 10:41:38.313788,Perdido,-23.68208393227866,-46.68103117008907,"Alias reiciendis modi incidunt fugiat totam. Quod alias incidunt saepe culpa nihil facere dignissimos.
Labore officia deleniti sint nisi incidunt.",0.39,2025-07-29 19:52:08.798653
96,1432,763,2024-02-23 07:06:50.444241,Guardado,-23.533132097355516,-46.726086284253086,Id temporibus similique impedit alias minima aut. Consectetur provident similique ipsam est ad. Minima quia ducimus non.,0.8,2025-07-29 19:52:08.798653
97,40778,206,2024-09-09 22:06:11.836111,Guardado,-23.486506496582532,-46.79380062630301,"Ea quasi minima. Repudiandae a inventore nulla atque itaque. Pariatur sed at maiores officia asperiores.
Aliquam nobis error deserunt consectetur facilis. Quo facere iste ipsam.",0.59,2025-07-29 19:52:08.798653
98,25199,545,2024-02-19 07:39:58.324396,Encontrado,-23.4598134441006,-46.768339003394004,"Dolor aspernatur a nobis. Odit provident nam.
Suscipit nemo iste commodi. Iure officia aperiam ipsa sed placeat. Distinctio porro est nobis.",0.88,2025-07-29 19:52:08.798653
99,7256,949,2023-12-25 22:52:44.036634,Encontrado,-23.526442641889417,-46.74975249234437,"Similique dolore et sequi. Animi quibusdam voluptates similique dicta nisi.
Illum qui magnam molestiae. Similique modi iste est alias temporibus. Incidunt quibusdam adipisci aperiam dolore rem alias.",0.09,2025-07-29 19:52:08.798653
100,50395,818,2024-11-06 13:20:13.567288,Perdido,-23.44427798390552,-46.61577808388536,Fugiat ea nesciunt ea impedit dolorem explicabo corporis. Explicabo eum neque quidem molestias doloremque. Voluptate error vitae ea dolores dolore.,0.98,2025-07-29 19:52:08.798653
101,14287,960,2024-09-28 08:47:07.664151,Encontrado,-23.44775332085245,-46.53798917319565,Ipsa id nam architecto quasi architecto. Laudantium fugiat distinctio temporibus corporis dicta. Est nesciunt libero.,0.18,2025-07-29 19:52:08.798653
102,17284,636,2025-02-14 13:03:24.709861,Guardado,-23.559058060179456,-46.58251064920383,"Sunt quidem reiciendis recusandae. Dolorum voluptates nam quasi porro.
Reprehenderit vitae praesentium quis quidem fugiat accusamus fuga. Vitae aut ea dolorum. Mollitia et nobis itaque nihil animi.",0.42,2025-07-29 19:52:08.798653
103,23715,623,2025-06-20 05:10:15.428559,Guardado,-23.625457042239812,-46.635750749445506,"Quo iusto facilis. Reprehenderit explicabo consectetur laborum commodi ullam.
Numquam autem hic veniam atque autem.
At rem velit explicabo. Placeat iusto voluptatem inventore dolor.",0.19,2025-07-29 19:52:08.798653
104,5082,620,2024-10-12 23:17:48.978003,Movido,-23.52384131429301,-46.73881048597662,"Nulla aliquam ipsam. Ducimus minima dolor quos ea soluta.
Culpa ipsum aperiam voluptate iusto.",0.61,2025-07-29 19:52:08.798653
105,8580,258,2024-10-20 00:14:16.723751,Movido,-23.5904998566039,-46.70306466400635,"Sint ex id aperiam nostrum voluptatem molestiae. Fuga delectus quaerat. Accusantium dolor officiis quaerat.
Accusamus harum quas aliquam architecto. Quod minima sint nam.",0.64,2025-07-29 19:52:08.798653
