LocalID,NomeLocal,TipoLocal,Endereco,Latitude,Longitude,Descricao,DataCriacao
18,Albuquerque,Restaurante,"Área de da Paz
Europa
94815042 Freitas de da Rocha / DF",-23.46820446047134,-46.6585299449941,Sit soluta architecto provident iste veniam possimus. Ipsam cupiditate magnam quia.,2025-07-29 19:51:54.642002
19,Borges,Outro,"Jardim de Dias
Vila Da Paz
98896-181 Sampaio de Silva / RS",-23.641026904024,-46.51614947724745,Hic ea reprehenderit doloremque repellendus hic. Quaerat nemo praesentium mollitia atque voluptate rem. Eligendi dolore rerum omnis dolor ipsa dignissimos modi.,2025-07-29 19:51:54.642002
20,Nascimento Andrade - ME,Bar,"Quadra de da Cunha, 8
João Alfredo
87209024 da Paz do Sul / AP",-23.43986425668607,-46.73050045185732,Ad consectetur nulla hic similique maxime consequatur. Explicabo consequatur magnam quae ullam odio ex. Nobis iste officia.,2025-07-29 19:51:54.642002
21,Oliveira Fernandes S.A.,Restaurante,"Largo João Miguel Cavalcanti, 152
Jardim Vitoria
42086510 Caldeira / RS",-23.420784869784562,-46.736782874094644,"Impedit ad laudantium veritatis dolorem.
Ab ut occaecati.
Tenetur laborum earum. Alias quibusdam cupiditate explicabo ratione.",2025-07-29 19:51:54.642002
22,Silveira Fogaça S/A,Outro,"Alameda Albuquerque, 60
Taquaril
91700-679 Araújo de Cassiano / PB",-23.584172515770522,-46.6668066496025,"Consectetur voluptatum possimus fugit. Perspiciatis facilis quis tenetur harum. Error voluptatibus nesciunt illo nihil voluptatum libero.
Laboriosam assumenda quas asperiores. Maxime inventore earum.",2025-07-29 19:51:54.642002
23,Moura Sousa Ltda.,Bar,"Parque de Pires, 45
Heliopolis
99729208 Guerra / AM",-23.64338074074888,-46.5482928437504,"Dolores unde ipsam iusto quis tenetur. In nihil quidem fuga.
Expedita neque adipisci perferendis veniam. Tempore asperiores repudiandae quod.",2025-07-29 19:51:54.642002
24,Borges,Casa,"Parque Rebeca da Paz, 79
Vitoria Da Conquista
95316-365 Albuquerque / RO",-23.485248854375502,-46.65625393444293,"Harum excepturi ad neque. Est itaque rem. Facere ab laborum laborum consectetur.
Dolore eius debitis assumenda quod natus recusandae nostrum.",2025-07-29 19:51:54.642002
25,Carvalho e Filhos,Restaurante,"Trecho Moraes, 11
Estoril
53708-356 Vieira do Amparo / CE",-23.56809992897765,-46.704046944706874,Sed delectus at dolorum. Laborum nostrum maxime laborum. Eaque omnis perspiciatis consectetur eos.,2025-07-29 19:51:54.642002
26,Vieira,Outro,"Alameda Almeida, 51
Ouro Minas
67796847 Novais / PB",-23.6149147822014,-46.77690724394463,"Quia molestiae quisquam ullam eaque. Exercitationem illo recusandae.
Asperiores ut suscipit incidunt nobis ipsam id odit. Nemo laborum facilis asperiores maxime ratione iusto.",2025-07-29 19:51:54.642002
27,Guerra e Filhos,Restaurante,"Jardim Gonçalves, 2
Vila Petropolis
69747-368 Moura / CE",-23.45384049945393,-46.622494411483295,Officiis asperiores blanditiis. Dignissimos velit impedit ea assumenda itaque mollitia. Nulla a repellendus aperiam quam quia laborum.,2025-07-29 19:51:54.642002
28,da Mota Pastor S.A.,Restaurante,"Viaduto Yago Rios, 98
Tupi B
96241-315 Camargo / CE",-23.520234973966833,-46.56408904931893,Cupiditate distinctio repellat accusantium libero. Accusamus ipsa alias optio impedit sunt ducimus. Cum nostrum quasi officia.,2025-07-29 19:51:54.642002
29,Ramos Ltda.,Bar,"Distrito Maria Julia Rocha, 68
Trevo
64198-431 Aragão / PR",-23.63148375365946,-46.57033195863703,Impedit iure animi aspernatur quo ipsum. Amet voluptatibus fuga debitis dignissimos sint. Culpa corrupti dolore iure.,2025-07-29 19:51:54.642002
30,Nogueira S/A,Trabalho,"Parque Souza, 11
Casa Branca
42790118 Monteiro Paulista / PI",-23.52390330827428,-46.76590953093608,Hic explicabo quaerat saepe alias tenetur. Ab ipsam architecto ex mollitia nisi perspiciatis. Veritatis quasi iusto sequi.,2025-07-29 19:51:54.642002
31,Nunes da Cruz - EI,Outro,"Feira de Pastor, 91
Novo Das Industrias
20807-908 Cassiano / RS",-23.590875069571624,-46.67939040655949,Consectetur nobis aspernatur doloremque velit. Voluptate nobis laudantium corporis et possimus inventore. Hic nulla ad.,2025-07-29 19:51:54.642002
32,da Mota,Bar,"Jardim Moraes, 83
Vila Paraíso
62974044 Melo do Sul / RJ",-23.479433153974096,-46.58454307242471,Totam ex sit ad nesciunt distinctio. Ipsam quae architecto nihil enim. Perferendis cumque beatae alias cupiditate repellat asperiores.,2025-07-29 19:51:54.642002
33,Ribeiro S.A.,Bar,"Praça de Alves, 74
São Geraldo
97180445 Caldeira / BA",-23.422258449757866,-46.58976855247544,"Accusamus qui voluptatibus voluptas deleniti fugiat perspiciatis.
Cum adipisci in placeat. Magni autem ratione.",2025-07-29 19:51:54.642002
34,Gonçalves - ME,Outro,"Estrada de Silveira, 35
Fazendinha
66247-412 Macedo / SP",-23.403524962166113,-46.7472879062936,Aliquam praesentium est fugiat eos quia veniam. Harum perferendis numquam amet.,2025-07-29 19:51:54.642002
35,Borges S.A.,Bar,"Via Enzo Camargo, 24
Canadá
36441-137 Santos / AC",-23.470474544159288,-46.78282613473431,Cupiditate saepe ea eveniet occaecati architecto. Quibusdam consectetur optio voluptatem a. Soluta aperiam minus nemo beatae molestiae illum.,2025-07-29 19:51:54.642002
36,Fonseca Fogaça S.A.,Bar,"Quadra de Rezende, 946
Alto Vera Cruz
49701-419 Caldeira / PI",-23.403430135498724,-46.78363569401869,Tenetur nemo qui voluptatibus saepe modi temporibus. Nesciunt quo voluptas mollitia optio nemo.,2025-07-29 19:51:54.642002
37,Oliveira S.A.,Bar,"Pátio Ryan da Mota
Lajedo
94303132 Cirino / PE",-23.649393901521233,-46.62327414166262,Consequatur eveniet est cupiditate iste ad. Doloremque debitis nostrum repellendus fugiat molestias dolore. Rem quia dicta iusto.,2025-07-29 19:51:54.642002
38,Teixeira Machado - ME,Trabalho,"Vereda Vitória Duarte, 4
Atila De Paiva
81623342 Oliveira / TO",-23.67141698159531,-46.745445769118874,Placeat voluptates magni magnam aliquam. Quasi velit reprehenderit temporibus reprehenderit quo eum.,2025-07-29 19:51:54.642002
39,Castro Melo - ME,Casa,"Largo João Guilherme Duarte, 214
Gameleira
21071286 Rezende / ES",-23.553129186361332,-46.557296640922594,"Omnis voluptatum dignissimos quam necessitatibus placeat occaecati sunt.
Veritatis optio illum quo quibusdam. Vel mollitia at aspernatur placeat adipisci.",2025-07-29 19:51:54.642002
40,Gonçalves,Outro,"Chácara Ana Carolina Vargas
Conjunto Celso Machado
39533-280 Costela da Prata / AM",-23.662064148582676,-46.6175255268511,"Optio quasi quasi.
Ipsa exercitationem adipisci nihil. Eligendi nisi quidem ab ratione adipisci libero. Molestiae magnam magnam maiores laborum odit. Nisi porro optio inventore.",2025-07-29 19:51:54.642002
41,Garcia,Bar,"Sítio de Martins, 8
Boa Viagem
92510755 Cavalcanti / BA",-23.57652186624428,-46.506975272603,"Esse eveniet modi in. Commodi quisquam est expedita.
Quaerat deserunt expedita doloribus fugit debitis. Ut impedit placeat ab quia ratione consequuntur. Iste quasi dicta assumenda.",2025-07-29 19:51:54.642002
42,Vasconcelos e Filhos,Outro,"Largo de Câmara, 203
Andiroba
86041227 da Costa / RR",-23.647726625785943,-46.517440161799705,"Laboriosam quisquam optio aperiam saepe nam provident. Pariatur quaerat reiciendis impedit est omnis.
Voluptate et cum vel officiis doloribus maxime inventore.",2025-07-29 19:51:54.642002
43,Costa,Bar,"Área Alice Leão
Flavio Marques Lisboa
30054511 Silva do Norte / RS",-23.56524704634691,-46.71874020855528,Nesciunt ratione laudantium eligendi animi. Error fugiat non incidunt excepturi odio.,2025-07-29 19:51:54.642002
44,Pacheco Souza Ltda.,Casa,"Campo de Leão, 9
Santa Cruz
54044146 Cirino / RO",-23.401802695831428,-46.52717261468195,Cum consectetur pariatur enim aliquid reiciendis. Fugit eaque hic nulla aspernatur sint. Animi et assumenda odio magni. Eveniet laudantium odit earum consequatur vel labore.,2025-07-29 19:51:54.642002
45,Nunes Camargo S.A.,Casa,"Setor Mariah Silveira, 62
São Pedro
45844-113 Peixoto Grande / MS",-23.613976118510067,-46.711944566510375,Dignissimos necessitatibus voluptates ex autem. Saepe distinctio possimus repudiandae numquam repudiandae. Dolor aliquam ratione vero aperiam officiis laborum.,2025-07-29 19:51:54.642002
46,Garcia,Bar,"Residencial Luiz Felipe Porto, 60
São Luiz
04041-570 Aragão / RJ",-23.62982426586266,-46.77261170068847,"Eos possimus nulla quis accusantium qui voluptatem. Quam blanditiis dolorum dolores saepe.
Reprehenderit quisquam aliquam. Id laudantium facilis. Et delectus consectetur eius suscipit modi eveniet.",2025-07-29 19:51:54.642002
47,da Cruz,Casa,"Parque Macedo, 8
Conjunto Serra Verde
26972-670 Dias / MG",-23.616791028555713,-46.68050552926934,Odio voluptas ipsa amet. Mollitia quo rerum dicta provident. Alias eum ipsa assumenda occaecati ad eveniet.,2025-07-29 19:51:54.642002
48,Pacheco Araújo S/A,Outro,"Lago Letícia Silveira, 34
Mineirão
35830780 Vargas das Flores / MA",-23.57698644810211,-46.62537537163887,"Consectetur voluptatibus reiciendis hic. Distinctio harum dicta molestias facere.
Dolor adipisci qui asperiores doloremque veniam ea. Incidunt recusandae alias nemo molestias sit eligendi.",2025-07-29 19:51:54.642002
49,Rodrigues - ME,Casa,"Viaduto de Carvalho
Ventosa
38488906 Duarte / MT",-23.646500273757933,-46.69002774042715,"Sed excepturi praesentium nam omnis deleniti.
Assumenda doloremque pariatur voluptatem aliquam fugiat. Eos libero fugit dolores ullam ipsam quas excepturi.",2025-07-29 19:51:54.642002
50,Rocha,Bar,"Vereda Gustavo Teixeira, 155
Vila Trinta E Um De Março
39592-235 Rios / PE",-23.60581755905306,-46.59539426685474,Quibusdam facere occaecati error consectetur perferendis. Laboriosam quisquam et neque consequuntur.,2025-07-29 19:51:54.642002
51,Azevedo,Outro,"Feira Oliveira, 41
São Jorge 2ª Seção
94872-466 Freitas / GO",-23.655381176637,-46.520108010691764,Explicabo quis provident commodi corporis perspiciatis.,2025-07-29 19:51:54.642002
52,Novais Ltda.,Outro,"Viela de da Cruz
Santa Helena
63574-385 Moraes de Goiás / BA",-23.453363705207547,-46.69573567296816,Sed hic eum. Accusantium rerum reiciendis ab est architecto maiores.,2025-07-29 19:51:54.642002
53,Pinto,Restaurante,"Vereda Almeida, 28
Vila Paris
79513771 Moura do Norte / PR",-23.501945151279912,-46.53374785777942,Libero ipsa non necessitatibus quidem quas. Magnam ab illo veritatis.,2025-07-29 19:51:54.642002
54,Mendes - EI,Trabalho,"Esplanada de Lopes
Santa Sofia
64418626 Pimenta / AC",-23.48751708159624,-46.65214814595418,"Laudantium eveniet fuga ex magnam itaque. Repellendus rem veritatis saepe praesentium.
Natus deleniti cum aspernatur. Ut quod sapiente incidunt.",2025-07-29 19:51:54.642002
55,Câmara - EI,Outro,"Via Cassiano, 6
São Marcos
53977162 Duarte das Flores / RJ",-23.5031870579522,-46.61680434072667,"Dicta tempore necessitatibus aliquam molestias et. Corporis tenetur accusantium.
Perspiciatis quia possimus deserunt enim sed minima.",2025-07-29 19:51:54.642002
56,Monteiro - ME,Casa,"Sítio Cassiano
Liberdade
82058-886 Sá / DF",-23.557408529734694,-46.77517083836373,Nesciunt fugit laboriosam itaque officia incidunt rem. Quia similique tenetur corrupti iusto eligendi laboriosam. Placeat exercitationem sed quo.,2025-07-29 19:51:54.642002
57,Cardoso,Restaurante,"Chácara de Monteiro, 1
Vila São Francisco
04719754 Nascimento / RN",-23.502195456561704,-46.76306911108613,Temporibus dolore quod blanditiis aperiam nam. Voluptatem quo corrupti eveniet magnam. Excepturi qui itaque omnis nisi omnis.,2025-07-29 19:51:54.642002
58,Aragão Silveira S/A,Outro,"Condomínio de Pimenta, 26
Dom Bosco
02216760 Sá de Ramos / CE",-23.588692156975977,-46.636019304456106,"Similique earum est rerum voluptas. Eaque amet inventore maiores eligendi qui.
Tempore maiores soluta. Nulla doloribus impedit quas. Sed quasi enim ipsam voluptatum.",2025-07-29 19:51:54.642002
59,Leão,Trabalho,"Viaduto de da Mota, 63
Nova Floresta
53691301 da Cruz / RS",-23.47591478159466,-46.66612310921854,Provident nobis doloremque sunt. Eaque deleniti neque non tempora accusamus. Praesentium nemo expedita reprehenderit quibusdam assumenda ipsa. Ratione quibusdam repellendus accusantium.,2025-07-29 19:51:54.642002
60,Rodrigues,Trabalho,"Distrito Arthur Miguel Peixoto, 78
Prado
33069564 Sampaio / PR",-23.491591151773864,-46.799282011812835,Dignissimos voluptatibus numquam tenetur ipsa. Qui iusto molestias earum ea totam. Delectus reprehenderit aperiam ipsam.,2025-07-29 19:51:54.642002
61,Nogueira,Casa,"Setor Antony Pacheco
Belmonte
33934-511 Abreu do Oeste / SE",-23.533687827587883,-46.76775636469981,Aliquid enim voluptate accusantium vel aspernatur. Eius incidunt tempore minus perferendis libero.,2025-07-29 19:51:54.642002
62,Pastor,Casa,"Pátio Peixoto, 23
São Paulo
25561957 Santos de da Rosa / PR",-23.469342680681542,-46.675155784087615,"Perspiciatis ea culpa. Voluptates nesciunt in.
Ut quas illo laudantium.",2025-07-29 19:51:54.642002
63,Novaes S/A,Trabalho,"Residencial Diogo Gonçalves, 217
Guaratã
83517-015 Leão do Galho / PB",-23.55500980744445,-46.76764412712965,Natus nulla numquam inventore soluta veniam possimus. Quis optio cupiditate veritatis.,2025-07-29 19:51:54.642002
64,Nogueira - EI,Restaurante,"Passarela Fonseca
São Damião
76991853 Rodrigues / ES",-23.698333625457153,-46.75694061254504,Voluptatum enim atque magni. Soluta aliquid aspernatur molestias.,2025-07-29 19:51:54.642002
65,Vieira,Casa,"Rua de Pacheco, 35
Vila Santa Monica 1ª Seção
55247873 Andrade dos Dourados / MA",-23.625572629812233,-46.766260032036485,"Sit natus mollitia. Suscipit in ipsum sit facere explicabo.
Est commodi excepturi dolor temporibus vitae. Sunt voluptates veniam quidem. Nihil atque ab provident sequi nam.",2025-07-29 19:51:54.642002
66,Mendes Azevedo - ME,Outro,"Campo de Moreira, 75
Camponesa 2ª Seção
52798875 Vieira / TO",-23.447086034701496,-46.73743503505756,Quisquam itaque ut cupiditate maiores. Cumque beatae eos sequi. Ut exercitationem animi tempore odit aperiam nam dicta.,2025-07-29 19:51:54.642002
67,Andrade,Bar,"Ladeira Porto, 95
Vila Independencia 3ª Seção
26732-466 Viana Paulista / AM",-23.63259686531265,-46.771219379620895,Quaerat voluptatum eveniet sit quae perspiciatis. Occaecati voluptates laborum ratione quis quidem.,2025-07-29 19:51:54.642002
68,Cirino,Restaurante,"Viela Enzo Nascimento, 495
Araguaia
15929-208 Albuquerque de Ribeiro / MA",-23.531656245423147,-46.71438786477237,"Atque aliquam aspernatur maxime minus consequuntur autem similique. Modi saepe commodi aspernatur vitae.
Voluptates corrupti ea. Vitae facere doloremque dicta.",2025-07-29 19:51:54.642002
69,Abreu,Trabalho,"Vereda Lima
Xodo-Marize
66707395 Rios / PE",-23.57766358774585,-46.51036560326372,Exercitationem optio earum vero id. Unde minima dolor consequuntur deleniti.,2025-07-29 19:51:54.642002
70,Duarte Caldeira S.A.,Bar,"Residencial Vasconcelos, 662
Bonsucesso
97231-865 Pereira do Sul / SE",-23.418256411034847,-46.7596092041927,"Laudantium accusantium incidunt. Natus in non nam minima alias quis.
Perspiciatis et ipsum voluptates animi odit. Illo alias aliquid deleniti. Quasi earum optio sed accusamus iusto voluptatibus.",2025-07-29 19:51:54.642002
71,Gomes Ltda.,Trabalho,"Loteamento de Moreira, 158
Alpes
71566-099 Fernandes / MS",-23.43215333674079,-46.71843911938768,Voluptatem quas totam perferendis earum nesciunt. Iusto enim nisi harum exercitationem pariatur.,2025-07-29 19:51:54.642002
72,Nascimento,Casa,"Campo de Martins, 4
Vila Antena Montanhês
48523256 Gonçalves Verde / ES",-23.687135831787412,-46.75995732861556,Incidunt esse at incidunt eaque illum ipsum fugiat. Beatae modi unde a voluptatum error.,2025-07-29 19:51:54.642002
73,Machado,Outro,"Lago Lima, 93
Vila Atila De Paiva
52194928 Leão / CE",-23.57877137464853,-46.745457091964575,Quisquam incidunt cum architecto et accusantium nostrum possimus. Quo dolor culpa nobis repellat aspernatur.,2025-07-29 19:51:54.642002
74,Monteiro - ME,Restaurante,"Rodovia Nicole Montenegro, 668
Vila Nova Gameleira 1ª Seção
65997109 da Cruz / TO",-23.465179596823777,-46.69357142458869,"Aperiam laboriosam nobis suscipit. Explicabo quisquam accusantium molestiae omnis quas.
Mollitia perferendis cupiditate blanditiis est.",2025-07-29 19:51:54.642002
75,Brito Ltda.,Restaurante,"Morro Carolina Nunes
Vila Ipiranga
69349-275 Aparecida de Cavalcante / DF",-23.539698565054717,-46.65398533069103,Tenetur voluptates sint sequi officia vitae voluptatem. Placeat culpa pariatur ipsam totam perferendis. Architecto repudiandae nemo blanditiis veritatis rem ipsa.,2025-07-29 19:51:54.642002
76,Moreira,Outro,"Parque Sá, 8
Alto Caiçaras
00383-064 Peixoto Paulista / PB",-23.432806384188172,-46.61937198803043,Quam nulla nobis. Dolor sunt rerum officiis cum cum reiciendis. Facere nemo est labore.,2025-07-29 19:51:54.642002
77,Nogueira - EI,Bar,"Núcleo Vargas
Leonina
35699-920 da Rosa Alegre / PE",-23.643846947232014,-46.65421277133971,"Voluptas ipsam laborum beatae neque. Dolores expedita commodi ipsum doloremque.
Dolorem sequi deleniti non magni minus veritatis. Repellat voluptate vel voluptate accusamus quam repellendus quo.",2025-07-29 19:51:54.642002
78,Rocha da Conceição S/A,Trabalho,"Condomínio Kevin da Cruz, 5
Pedreira Padro Lopes
23505002 Vargas Verde / MG",-23.605991926886688,-46.76595396537896,"Laboriosam reprehenderit ex. Iure saepe quis atque rerum quam.
Sit rem maiores accusamus. Totam perferendis laudantium iste harum doloremque officia.",2025-07-29 19:51:54.642002
79,Leão Melo Ltda.,Outro,"Colônia Correia, 891
Horto Florestal
24557-165 Albuquerque do Oeste / SP",-23.517550091101803,-46.70384795785695,"Modi molestias eius corrupti.
Suscipit architecto perspiciatis tenetur odit laudantium ad. Nisi tenetur quam ipsum enim ab atque nostrum.",2025-07-29 19:51:54.642002
80,Fonseca,Restaurante,"Área Castro, 897
São João
11153708 Pimenta / MA",-23.538832515565513,-46.67153702667519,Corporis vitae corporis vero perferendis. Consequuntur quae modi eligendi amet aspernatur.,2025-07-29 19:51:54.642002
81,Rocha Pastor e Filhos,Bar,"Estação de da Rocha
Vila Suzana Primeira Seção
94022-930 Lopes / PE",-23.694577105184035,-46.71935517086182,Occaecati autem nam. Impedit nostrum odio ipsam neque unde. Consequatur ullam ipsa voluptatibus nulla ducimus quam. Numquam dolorum eveniet iusto sequi nostrum.,2025-07-29 19:51:54.642002
82,Dias - ME,Casa,"Avenida Luiz Miguel Martins, 68
Barroca
62100-962 Costa / MS",-23.678286259617177,-46.6527178533032,Debitis accusantium quod magnam necessitatibus repellendus quibusdam voluptate. Ducimus eligendi ratione sapiente ducimus earum. Soluta deserunt magni hic nisi id accusamus.,2025-07-29 19:51:54.642002
83,da Mota e Filhos,Restaurante,"Avenida Vasconcelos, 858
Teixeira Dias
28020167 Ferreira / AM",-23.471608379150123,-46.75833760326686,Nihil hic perferendis impedit repellat. Labore voluptatibus eius ipsum. Perferendis pariatur incidunt suscipit suscipit blanditiis aliquid. Nisi autem eaque deleniti minus optio.,2025-07-29 19:51:54.642002
84,Alves,Casa,"Viela Mendes, 87
Europa
65663-336 Montenegro do Oeste / PR",-23.40550387294944,-46.55089139695812,"Perferendis inventore ipsa magni.
Blanditiis eum quo suscipit occaecati nihil libero tempora. Sunt quidem maxime exercitationem officia doloribus. Odit voluptatum quisquam at unde cumque.",2025-07-29 19:51:54.642002
85,Mendonça Fernandes Ltda.,Bar,"Campo de da Rocha, 45
Brasil Industrial
39683-452 Montenegro das Pedras / PE",-23.41144686564086,-46.722515082299196,"Ratione eligendi perferendis reprehenderit qui ad incidunt. Dolorum amet excepturi animi esse.
Illo at perferendis illo quam et. Suscipit alias vero suscipit tenetur.",2025-07-29 19:51:54.642002
86,Jesus,Restaurante,"Setor Daniela Rios, 647
Castanheira
12481790 Rios do Campo / RS",-23.585515234298096,-46.7389024339163,"Quisquam illum animi sit. Quas ullam adipisci minus.
Distinctio occaecati itaque distinctio. Eos eveniet inventore cum fuga provident odio debitis.",2025-07-29 19:51:54.642002
87,Freitas Ltda.,Restaurante,"Jardim Pereira, 117
Vila Cemig
91575-611 Sá / MG",-23.68548753594255,-46.62529047363423,"At commodi quaerat esse. Rerum velit tenetur velit magnam.
Natus dolor beatae explicabo. Dolorum quibusdam provident architecto esse id officia.
At at fuga suscipit id autem deserunt.",2025-07-29 19:51:54.642002
88,da Cunha,Bar,"Ladeira Arthur Sales
Apolonia
85232-170 Pastor / BA",-23.46397367191763,-46.760935328326745,Magni error eum ducimus. Repellendus quisquam pariatur libero deserunt. Veritatis et nostrum. Quasi adipisci odio excepturi nemo unde ea.,2025-07-29 19:51:54.642002
89,Vieira Campos Ltda.,Restaurante,"Campo Abreu
Ribeiro De Abreu
00128-407 da Rosa de Goiás / PI",-23.589270975055882,-46.570498618555064,"Blanditiis velit tempora accusantium quo architecto dolor.
Tempore eveniet natus explicabo laudantium occaecati. Officia unde facilis eaque.",2025-07-29 19:51:54.642002
90,da Mata,Bar,"Sítio Vinicius Ferreira, 49
Zilah Sposito
16966972 Costela / AM",-23.431761583032525,-46.650363566242184,"Odit harum nisi tempore. Exercitationem aut magnam at vitae totam.
Ullam aspernatur commodi quaerat. Quas recusandae dignissimos.",2025-07-29 19:51:54.642002
91,Novais,Trabalho,"Praça Duarte, 189
Liberdade
37773529 Alves / PB",-23.44694320623254,-46.63583985150205,Voluptates quidem magni commodi voluptatem quidem. Adipisci at quae officia ut eius. Magnam voluptatem labore sint eos alias.,2025-07-29 19:51:54.642002
92,Andrade da Conceição S/A,Trabalho,"Jardim de Mendonça
Suzana
41425-737 Melo do Norte / MT",-23.538176608792483,-46.58001782130136,"Iure excepturi impedit harum debitis.
Quam cupiditate fuga harum. Hic necessitatibus et. Rerum nam eius iure fugiat accusamus.",2025-07-29 19:51:54.642002
93,Castro Costa e Filhos,Trabalho,"Esplanada Luiz Otávio Abreu, 44
Castelo
96293725 Mendes da Praia / AC",-23.460457792116785,-46.50811835987682,Perferendis suscipit nihil eum culpa aperiam nobis. Unde accusantium quia reiciendis modi magnam.,2025-07-29 19:51:54.642002
