ManutencaoID,IsqueiroUsuarioID,TipoManutencao,DataManutencao,Custo,EstabelecimentoID,Observacoes,DataCriacao
15,22851,Troca Pedra,2025-01-17 12:16:35.090657,6.61,190,Quae labore quae in sit. Unde pariatur illum doloribus mollitia.,2025-07-29 19:52:10.326811
16,5399,Recarga,2025-01-03 21:31:20.121875,2.82,50,Tempora occaecati ipsam temporibus ratione atque. Ut necessitatibus adipisci aspernatur.,2025-07-29 19:52:10.326811
17,4776,Recarga,2024-01-22 10:28:36.907553,20.8,26,Nihil esse consectetur ipsa nesciunt vel aut. Quasi quisquam alias ex modi provident.,2025-07-29 19:52:10.326811
18,43650,Recarga,2024-12-27 11:51:39.396214,21.89,269,Fugiat id nobis saepe. Rem similique odio atque.,2025-07-29 19:52:10.326811
19,41233,Recarga,2025-01-04 12:48:55.262309,18.96,261,Officiis earum sunt beatae.,2025-07-29 19:52:10.326811
20,37159,Recarga,2024-02-22 18:02:52.185799,14.18,717,Veniam sapiente quas et. Fugiat magnam iure exercitationem facilis.,2025-07-29 19:52:10.326811
21,3700,Recarga,2024-01-05 23:14:04.112790,9.42,161,Nam perspiciatis officiis adipisci placeat minus. Minus incidunt ea tempora.,2025-07-29 19:52:10.326811
22,44722,Recarga,2023-11-07 05:24:36.500182,2.85,80,Neque sint error rerum doloremque reprehenderit doloremque veniam. Doloribus dolores blanditiis.,2025-07-29 19:52:10.326811
23,42521,Recarga,2024-03-14 16:33:06.155682,8.93,931,Dolorum necessitatibus id magni at cum enim cum.,2025-07-29 19:52:10.326811
24,35025,Reparo,2024-11-03 08:27:16.293517,11.08,364,Eum maiores quas reiciendis veniam. Nam voluptas cupiditate provident adipisci nam.,2025-07-29 19:52:10.326811
25,56691,Recarga,2023-10-18 11:48:08.033102,5.27,510,Illo non ex ipsum.,2025-07-29 19:52:10.326811
26,49330,Recarga,2024-11-07 01:25:37.846362,10.41,438,Nemo ullam fuga repellat soluta. Nemo illum non labore id voluptatum laudantium.,2025-07-29 19:52:10.326811
27,21632,Recarga,2023-12-06 17:26:55.713333,15.32,827,Cum explicabo sequi earum doloremque earum alias.,2025-07-29 19:52:10.326811
28,29246,Troca Pedra,2023-09-17 03:27:46.573605,19.08,435,Repellendus dignissimos recusandae sunt cum. Eum labore sit at eaque veritatis.,2025-07-29 19:52:10.326811
29,48208,Recarga,2023-09-02 10:03:45.769338,8.97,174,Atque esse unde doloribus eaque officiis veritatis. Numquam ut quaerat. Eos eius vitae nemo labore.,2025-07-29 19:52:10.326811
30,1456,Recarga,2025-03-14 18:08:51.606827,17.2,99,Quibusdam atque exercitationem quaerat ea. Ipsa quae officiis unde exercitationem aut molestias.,2025-07-29 19:52:10.326811
31,32423,Troca Pedra,2024-06-18 22:45:59.010854,9.58,955,Maxime maiores cupiditate accusamus velit veniam.,2025-07-29 19:52:10.326811
32,11800,Troca Pedra,2024-06-03 03:55:55.305833,11.47,28,Necessitatibus tempore cupiditate ad. Voluptatum at facere illum ipsa.,2025-07-29 19:52:10.326811
33,54143,Recarga,2025-04-03 21:12:47.246323,15.28,80,Mollitia consectetur ea laudantium fugit non praesentium. Porro ducimus corporis ratione facilis.,2025-07-29 19:52:10.326811
34,24035,Recarga,2023-09-18 15:14:45.870446,3.98,397,Pariatur exercitationem eligendi at saepe doloribus iure vel. Aliquid tenetur eligendi commodi.,2025-07-29 19:52:10.326811
35,35550,Recarga,2025-06-11 05:41:46.189469,18.3,180,Quod placeat aliquam quam doloremque. Animi consequuntur beatae autem dolores adipisci.,2025-07-29 19:52:10.326811
36,11585,Recarga,2024-01-08 11:04:01.421147,18.64,1,Quidem exercitationem neque nemo sapiente harum asperiores. Sequi atque corporis.,2025-07-29 19:52:10.326811
37,55986,Recarga,2024-04-03 07:12:46.991616,3.39,205,Adipisci impedit unde quos maiores cum dolorum.,2025-07-29 19:52:10.326811
38,37858,Reparo,2025-06-23 02:53:39.638931,17.82,588,Perspiciatis ducimus quia voluptate quis.,2025-07-29 19:52:10.326811
39,7391,Recarga,2025-01-02 08:57:24.021522,6.12,859,Cumque necessitatibus repellat sequi quia. Enim eos alias iusto magnam.,2025-07-29 19:52:10.326811
40,17007,Reparo,2025-04-03 19:14:59.740036,16.73,788,Quo fuga quaerat qui impedit. Praesentium facilis error. Debitis nostrum et fugiat molestiae.,2025-07-29 19:52:10.326811
41,14528,Troca Pedra,2024-03-27 21:52:27.361136,4.89,713,Ducimus eaque ipsum provident. Quos nulla minus consectetur porro.,2025-07-29 19:52:10.326811
42,11997,Reparo,2025-02-12 00:39:51.422359,8.39,975,Vel optio ab eveniet iste dolore. Iusto nostrum error enim a.,2025-07-29 19:52:10.326811
43,4281,Recarga,2023-10-22 20:39:50.645721,18.61,213,Praesentium sit vitae quis sint qui minima. Reprehenderit nobis enim deleniti.,2025-07-29 19:52:10.326811
44,3886,Recarga,2025-04-24 11:28:32.763586,17.06,863,Occaecati modi quasi numquam asperiores unde quo perspiciatis.,2025-07-29 19:52:10.326811
45,21899,Recarga,2024-03-01 03:36:26.096846,3.87,425,Sequi nostrum nihil recusandae deserunt recusandae aliquid aliquid. Amet facere mollitia tenetur.,2025-07-29 19:52:10.326811
46,50637,Reparo,2023-12-23 12:34:38.034511,15.93,219,Laboriosam pariatur odio animi voluptas accusamus. Numquam ut accusamus cumque.,2025-07-29 19:52:10.326811
47,8558,Recarga,2025-04-09 08:43:39.941472,11.34,43,Neque voluptas dolor officia.,2025-07-29 19:52:10.326811
48,12290,Recarga,2024-10-31 01:04:40.710613,4.09,920,Fugit laboriosam libero sapiente.,2025-07-29 19:52:10.326811
49,11409,Recarga,2025-02-25 03:53:16.412684,9.31,767,Dignissimos suscipit velit eum saepe nobis.,2025-07-29 19:52:10.326811
50,33260,Recarga,2023-08-25 22:08:32.366884,0.0,138,Voluptate recusandae veniam molestias. Velit optio laboriosam nisi aut voluptatibus.,2025-07-29 19:52:10.326811
51,32672,Recarga,2024-09-27 17:09:52.001508,14.79,704,Aliquid ducimus quo doloribus. Quis ad dolorem nesciunt fugiat.,2025-07-29 19:52:10.326811
52,15468,Recarga,2024-05-14 09:24:22.099279,6.65,330,Quis saepe repellat libero asperiores aspernatur impedit. Magnam ratione rerum adipisci veritatis.,2025-07-29 19:52:10.326811
53,36822,Recarga,2025-04-17 17:43:15.549170,14.55,291,Ab dicta enim officiis. Reprehenderit similique cumque at distinctio.,2025-07-29 19:52:10.326811
54,40525,Recarga,2023-09-19 10:06:07.834143,7.14,731,Culpa nemo aliquid nesciunt quas facilis cum. Placeat voluptatum sed impedit.,2025-07-29 19:52:10.326811
55,14723,Recarga,2025-06-29 22:05:34.098486,17.8,104,Provident architecto soluta blanditiis iusto iusto quos. Eos corrupti quia libero velit nam.,2025-07-29 19:52:10.326811
56,40784,Recarga,2025-06-20 22:43:19.914711,11.32,288,Distinctio ducimus et sed doloremque quam. Harum deserunt quidem.,2025-07-29 19:52:10.326811
57,42824,Recarga,2023-12-04 21:27:11.936062,16.92,137,Est eligendi iste adipisci animi reprehenderit. Facere fuga veniam quibusdam quas harum corporis.,2025-07-29 19:52:10.326811
58,59528,Recarga,2025-06-05 23:37:35.355850,12.47,292,Modi vero quibusdam iusto omnis maiores. Ad possimus cum maxime quia sint iste.,2025-07-29 19:52:10.326811
59,45819,Recarga,2024-04-13 08:48:39.209755,5.3,160,Adipisci laboriosam enim sunt quisquam fugiat dolorem. Non voluptatem esse dolorem sit.,2025-07-29 19:52:10.326811
60,26573,Reparo,2025-03-08 05:03:44.229585,10.49,161,Voluptas saepe maxime laudantium impedit nulla.,2025-07-29 19:52:10.326811
61,20899,Recarga,2024-10-21 13:11:10.321642,6.29,545,Pariatur quibusdam eos labore ipsa quaerat ut. Eveniet in molestiae odit facere saepe.,2025-07-29 19:52:10.326811
62,14567,Recarga,2024-09-22 05:11:34.830784,0.0,291,Vero exercitationem quam nisi qui ratione consectetur.,2025-07-29 19:52:10.326811
63,11096,Reparo,2023-10-31 20:24:42.621357,19.06,611,"Atque aut temporibus corrupti sapiente.
Animi nemo amet fugiat.",2025-07-29 19:52:10.326811
64,39481,Limpeza,2024-08-04 00:09:44.135507,16.54,649,Quae quia expedita velit. Iste perspiciatis ipsum qui voluptatibus adipisci et.,2025-07-29 19:52:10.326811
65,19568,Recarga,2024-06-24 16:33:39.137995,8.68,634,Rerum aspernatur explicabo vel similique. Quaerat nulla magnam dolor.,2025-07-29 19:52:10.326811
66,23659,Limpeza,2023-09-20 06:53:45.618604,13.19,587,Dolore omnis nam tempore officia culpa vitae vitae. Atque repellendus voluptatem possimus ut culpa.,2025-07-29 19:52:10.326811
67,40004,Troca Pedra,2025-05-03 14:09:56.704422,0.0,54,Aperiam corrupti provident officia. Quas molestias nemo non ducimus illo culpa.,2025-07-29 19:52:10.326811
68,7105,Troca Pedra,2025-01-30 19:59:33.791909,16.19,123,Ex architecto reiciendis repellendus. Nemo accusamus ex eligendi eligendi reprehenderit.,2025-07-29 19:52:10.326811
69,11491,Recarga,2025-03-15 21:55:19.306083,7.19,557,Reiciendis nobis architecto. Porro placeat sit occaecati dicta. Aut ab corporis vitae illo.,2025-07-29 19:52:10.326811
70,58013,Recarga,2023-11-29 12:54:48.655890,14.1,33,Dolores reiciendis nobis laudantium tempore sequi ad dolore. Nihil ipsam odio. Eius aliquam harum.,2025-07-29 19:52:10.326811
71,38425,Recarga,2024-01-12 17:21:10.818422,11.95,113,A at quis non est harum id quod. Architecto numquam voluptatum libero vitae quo facere.,2025-07-29 19:52:10.326811
72,40883,Recarga,2023-11-04 07:18:14.935204,7.27,373,Earum quae libero modi vel fugit ea. Nemo temporibus dolorem.,2025-07-29 19:52:10.326811
73,46744,Recarga,2024-06-19 07:03:40.493840,19.08,409,Dolore rem adipisci nesciunt.,2025-07-29 19:52:10.326811
74,55458,Limpeza,2024-06-06 16:13:12.859825,2.0,116,Illum vel itaque quibusdam quas numquam eaque. Animi provident dolore distinctio facilis non.,2025-07-29 19:52:10.326811
75,58698,Recarga,2025-01-14 04:24:42.518906,10.48,558,Voluptatem voluptatum non consequuntur. Libero voluptate quasi optio pariatur dignissimos.,2025-07-29 19:52:10.326811
76,35930,Recarga,2023-08-30 06:07:54.337662,12.5,218,Sunt quam maiores accusamus corrupti doloremque.,2025-07-29 19:52:10.326811
77,25565,Recarga,2024-05-12 06:51:51.561725,3.78,82,Impedit odit accusantium id ducimus beatae. Beatae dignissimos sit alias magni ratione molestiae.,2025-07-29 19:52:10.326811
78,59460,Recarga,2023-09-23 11:50:01.680090,9.76,365,Aperiam architecto error distinctio.,2025-07-29 19:52:10.326811
79,36323,Recarga,2024-03-05 22:24:50.161438,19.68,467,Esse non exercitationem deleniti. Et laborum blanditiis eligendi expedita.,2025-07-29 19:52:10.326811
80,26250,Recarga,2023-11-04 00:03:55.175336,9.96,671,Quasi repellat qui. Error repudiandae enim labore voluptates facilis.,2025-07-29 19:52:10.326811
81,45652,Recarga,2024-03-30 08:37:11.309627,7.34,302,Error autem debitis atque rem at. Sed nam ipsum.,2025-07-29 19:52:10.326811
82,12767,Recarga,2023-12-11 06:19:29.146303,11.34,847,Aspernatur quae tenetur eum quis distinctio. Nam sit animi velit illum ex.,2025-07-29 19:52:10.326811
83,30836,Troca Pedra,2023-08-01 18:09:51.662083,11.37,560,Hic blanditiis perferendis recusandae ex eveniet. Sed atque autem dolorum aperiam delectus.,2025-07-29 19:52:10.326811
84,6214,Recarga,2025-07-18 02:51:03.235001,7.96,834,Corporis soluta odio perferendis ad quasi provident. Repellendus culpa quidem magnam odio.,2025-07-29 19:52:10.326811
85,58635,Recarga,2024-10-19 02:24:50.534501,10.03,188,Saepe voluptas voluptas consectetur error. Nemo nostrum nihil non corrupti at.,2025-07-29 19:52:10.326811
86,35732,Recarga,2025-02-11 18:25:21.125700,5.22,386,"Facere eos amet animi quod. Quasi rem nisi neque.
Dolorem accusamus sint.",2025-07-29 19:52:10.326811
87,39378,Troca Pedra,2024-09-05 11:17:13.128989,12.86,602,Odio quis fugiat nemo odit perspiciatis omnis.,2025-07-29 19:52:10.326811
88,44325,Recarga,2024-01-30 07:22:23.266198,9.5,187,Eius provident dolores nostrum voluptas. Enim voluptate iusto qui.,2025-07-29 19:52:10.326811
89,48595,Recarga,2023-11-25 18:16:08.559082,1.35,112,Eveniet soluta eum. Sunt dolorum ratione tempora nulla ad.,2025-07-29 19:52:10.326811
90,18652,Recarga,2024-04-24 21:25:36.898007,4.61,121,Repudiandae ipsam enim recusandae totam at. Ea numquam aliquam ducimus.,2025-07-29 19:52:10.326811
91,6295,Reparo,2023-12-23 18:42:02.344175,17.47,466,Similique eius aliquam perferendis ducimus blanditiis adipisci. Ullam ea fugiat officia.,2025-07-29 19:52:10.326811
92,44604,Recarga,2025-03-18 17:02:23.104915,5.01,180,Aut iure sapiente reprehenderit facilis natus cum. Incidunt occaecati ducimus sint.,2025-07-29 19:52:10.326811
93,57902,Recarga,2023-10-19 14:12:30.605417,7.95,739,Quis quidem natus esse. Occaecati at nihil velit libero suscipit. Deserunt laboriosam sequi.,2025-07-29 19:52:10.326811
94,44830,Recarga,2024-04-28 06:11:15.429512,4.09,876,Veniam aspernatur temporibus vero suscipit quam.,2025-07-29 19:52:10.326811
95,11488,Recarga,2025-05-30 19:02:37.029658,11.5,168,Suscipit dolor tenetur mollitia fugit. Ipsum ea reiciendis id at sit officiis officia.,2025-07-29 19:52:10.326811
96,26367,Recarga,2024-07-14 15:04:18.766460,12.4,17,Molestiae non iste deleniti. Maiores amet deserunt. Neque molestias fuga similique ipsa.,2025-07-29 19:52:10.326811
97,55725,Recarga,2024-05-09 23:59:09.478232,13.02,48,Ea blanditiis repudiandae corporis. Ipsa esse provident molestias eaque. Qui enim quasi ullam.,2025-07-29 19:52:10.326811
98,15596,Troca Pedra,2025-07-26 10:30:12.635090,7.09,257,Pariatur sequi laudantium sunt perferendis. Error rerum laborum dolore.,2025-07-29 19:52:10.326811
99,9772,Recarga,2024-01-11 00:03:33.344948,9.68,238,Dignissimos nisi quos recusandae architecto. Nulla nam suscipit itaque cum assumenda temporibus ad.,2025-07-29 19:52:10.326811
100,25157,Recarga,2024-03-14 05:27:33.131883,7.06,317,Itaque natus quia rerum. Fuga laudantium minima ducimus.,2025-07-29 19:52:10.326811
101,20715,Recarga,2024-05-26 21:22:49.173724,11.86,99,Nam nesciunt repudiandae pariatur tempora facere. Laudantium possimus soluta voluptate eligendi.,2025-07-29 19:52:10.326811
102,37622,Troca Pedra,2024-01-08 02:43:44.863496,21.67,753,Repellendus corporis eveniet in. Itaque omnis atque optio repudiandae.,2025-07-29 19:52:10.326811
103,55223,Recarga,2024-10-13 14:17:03.793106,15.97,175,Ipsum nam laboriosam ipsa ipsam.,2025-07-29 19:52:10.326811
104,52153,Recarga,2024-10-24 00:26:46.144856,18.89,711,Cum hic cum.,2025-07-29 19:52:10.326811
105,32756,Reparo,2024-10-03 02:11:53.112704,7.02,662,Unde nobis vitae ab ut quam molestias iste.,2025-07-29 19:52:10.326811
106,39344,Recarga,2024-11-13 05:13:07.410859,6.15,212,Quam adipisci iure laudantium. Suscipit omnis ex.,2025-07-29 19:52:10.326811
107,15041,Troca Pedra,2023-11-21 06:16:43.490517,14.94,158,Vel magni optio et quis quisquam sed. Optio itaque enim necessitatibus optio atque aut.,2025-07-29 19:52:10.326811
108,4843,Recarga,2025-02-28 07:38:12.850345,0.0,515,Deserunt accusamus consequuntur corrupti quaerat neque.,2025-07-29 19:52:10.326811
109,52290,Recarga,2024-02-06 23:29:13.327534,13.07,190,Nulla eum placeat provident.,2025-07-29 19:52:10.326811
110,22008,Recarga,2025-03-26 04:21:36.111480,5.35,425,Unde necessitatibus corporis porro. Ipsa architecto expedita corrupti. Quo natus omnis.,2025-07-29 19:52:10.326811
111,55210,Recarga,2024-07-11 06:52:33.542018,2.9,118,Eaque similique sit cupiditate.,2025-07-29 19:52:10.326811
112,37864,Recarga,2024-05-05 20:17:12.154560,3.05,202,A voluptas velit eos ab numquam impedit odit. A explicabo laboriosam deserunt.,2025-07-29 19:52:10.326811
113,42772,Recarga,2025-04-06 14:17:07.590989,10.32,579,Dolorem consectetur laboriosam ipsum. Amet ad quo quas.,2025-07-29 19:52:10.326811
114,40129,Recarga,2024-03-12 09:53:59.890035,15.84,808,Quos ratione dignissimos occaecati maiores hic.,2025-07-29 19:52:10.326811
115,3006,Recarga,2024-08-26 13:59:57.255149,11.3,136,Eveniet unde dolor ex sed velit nobis. Voluptates tempora dolor dolorum dolor.,2025-07-29 19:52:10.326811
116,6925,Recarga,2025-05-16 05:39:26.581344,5.86,620,Consequatur laboriosam consectetur mollitia officia quam. Nemo odio error minus tenetur.,2025-07-29 19:52:10.326811
117,27746,Recarga,2024-03-10 13:56:15.756066,2.96,786,Optio porro nobis cum rem. Rem ducimus repudiandae nesciunt iusto ea.,2025-07-29 19:52:10.326811
118,31085,Recarga,2024-02-11 20:36:00.694532,7.19,638,Dolorum molestiae cumque quo nulla. Suscipit odio veniam dolor.,2025-07-29 19:52:10.326811
119,11844,Limpeza,2024-04-04 16:38:47.694368,0.0,609,Officia corporis ipsam repellat sit. Alias quae quis minus veniam maxime quasi voluptatum.,2025-07-29 19:52:10.326811
120,1465,Recarga,2023-08-22 11:10:41.449793,10.43,198,Corporis eius neque porro. Vitae beatae cupiditate dolorum sapiente debitis sed.,2025-07-29 19:52:10.326811
121,38184,Limpeza,2023-09-20 18:22:10.183119,13.22,71,Dicta laborum dolorum. Reiciendis explicabo eaque minus deleniti commodi.,2025-07-29 19:52:10.326811
122,2870,Recarga,2025-02-21 19:41:19.172092,4.43,743,Occaecati beatae molestiae ex iusto ratione ratione. Voluptatem nisi eveniet quam.,2025-07-29 19:52:10.326811
123,53834,Troca Pedra,2025-04-09 13:25:32.033038,21.28,230,Blanditiis illum consequuntur temporibus dolor. Rerum nam ullam facilis.,2025-07-29 19:52:10.326811
124,16778,Recarga,2024-03-01 03:31:33.274353,14.46,730,Facere velit laborum pariatur iure. Totam eveniet ea saepe recusandae doloribus perspiciatis.,2025-07-29 19:52:10.326811
125,16647,Troca Pedra,2024-10-22 07:18:23.712015,6.07,24,Molestiae rem neque debitis. Similique alias veritatis consequatur libero velit.,2025-07-29 19:52:10.326811
126,50973,Limpeza,2025-06-24 08:52:47.298142,9.87,876,Ad enim aliquid. Veritatis sit tempore voluptates rerum. Sit voluptatum aspernatur.,2025-07-29 19:52:10.326811
127,1882,Troca Pedra,2024-12-03 20:31:59.232384,5.11,651,Optio iure ipsa eveniet.,2025-07-29 19:52:10.326811
128,38103,Recarga,2024-08-22 23:13:28.091084,4.79,672,Molestias minus soluta autem. Reprehenderit nisi debitis. Eos sapiente nulla porro.,2025-07-29 19:52:10.326811
129,49710,Recarga,2025-03-31 13:34:17.274605,9.38,928,Nam eum magni facilis officia unde.,2025-07-29 19:52:10.326811
130,23520,Recarga,2024-08-27 03:23:17.800282,17.26,593,Adipisci accusamus nemo optio dignissimos. Commodi enim aliquid doloribus architecto tenetur.,2025-07-29 19:52:10.326811
131,56361,Recarga,2025-03-06 21:33:33.185022,10.34,887,Nostrum ipsa rem incidunt labore facilis. Quaerat ducimus recusandae ad.,2025-07-29 19:52:10.326811
132,53532,Recarga,2025-03-26 19:02:04.166611,7.34,822,Ea ad non a explicabo consequuntur qui. Ullam pariatur odit.,2025-07-29 19:52:10.326811
133,39091,Recarga,2025-03-18 05:07:31.646990,23.05,611,Magnam blanditiis natus quam perspiciatis vitae. Vel voluptatem vitae cum.,2025-07-29 19:52:10.326811
134,38061,Recarga,2023-09-05 00:56:29.670778,11.65,210,Soluta iusto aspernatur qui ducimus.,2025-07-29 19:52:10.326811
135,53267,Recarga,2025-01-18 03:23:43.524270,10.51,21,Assumenda facere animi aspernatur fuga quasi doloribus cupiditate. Eos officia omnis quia possimus.,2025-07-29 19:52:10.326811
136,40384,Recarga,2025-01-02 04:05:31.979093,6.82,800,Quis neque omnis rerum nesciunt at. Qui debitis repellendus saepe illum voluptas odit cupiditate.,2025-07-29 19:52:10.326811
137,24979,Recarga,2024-05-15 07:53:19.437483,13.1,833,Et molestiae delectus veritatis atque possimus. Corporis placeat maxime cum.,2025-07-29 19:52:10.326811
138,3721,Recarga,2025-01-06 18:56:36.919001,10.58,162,Eum officiis doloremque necessitatibus. Quae deleniti corrupti similique inventore id eius.,2025-07-29 19:52:10.326811
139,24333,Reparo,2024-09-14 02:39:33.881872,13.5,622,Quis beatae dolorem quis veritatis. Delectus dicta laudantium voluptates voluptate accusantium.,2025-07-29 19:52:10.326811
140,50725,Recarga,2025-07-01 00:02:30.044130,12.89,100,Consectetur inventore placeat excepturi saepe. Velit quam facilis excepturi nam.,2025-07-29 19:52:10.326811
141,12276,Recarga,2023-10-30 00:01:20.911757,0.31,116,Ullam adipisci minima. Unde rem recusandae pariatur. Eius enim perspiciatis amet similique.,2025-07-29 19:52:10.326811
142,38205,Recarga,2025-07-29 01:02:54.523116,8.81,556,Veniam rerum placeat explicabo totam reiciendis.,2025-07-29 19:52:10.326811
143,9068,Recarga,2023-08-21 13:48:22.099820,12.73,918,Perspiciatis nemo vero libero occaecati asperiores.,2025-07-29 19:52:10.326811
144,7713,Limpeza,2024-07-28 11:03:37.829812,18.3,526,Iste voluptates minima laborum veritatis. Qui soluta odit tempore iure.,2025-07-29 19:52:10.326811
145,43700,Limpeza,2023-11-14 22:46:26.824898,5.95,319,Non unde occaecati. Quidem eveniet beatae.,2025-07-29 19:52:10.326811
146,2476,Recarga,2025-01-05 10:34:21.974786,13.84,500,Deserunt blanditiis aliquam modi.,2025-07-29 19:52:10.326811
147,11249,Recarga,2024-07-13 22:37:58.469316,9.51,268,Fuga quasi non voluptatibus nisi ea autem.,2025-07-29 19:52:10.326811
148,5715,Recarga,2025-01-26 10:59:01.644162,9.83,815,Quam ab nulla facere. Ex similique temporibus similique.,2025-07-29 19:52:10.326811
149,8329,Recarga,2023-08-24 16:34:13.192144,16.44,919,Et vitae omnis mollitia ipsum. Numquam tenetur saepe corporis.,2025-07-29 19:52:10.326811
150,51505,Recarga,2023-10-01 19:19:27.091235,5.53,790,Atque dolor quidem. Voluptatum vero nostrum consequatur sunt. Et doloribus dolor.,2025-07-29 19:52:10.326811
151,15845,Recarga,2025-02-27 07:01:25.424428,9.82,769,Quos laboriosam harum minus. Nihil atque atque quaerat voluptatum.,2025-07-29 19:52:10.326811
152,45346,Recarga,2023-11-07 19:02:32.055931,20.65,903,Libero reprehenderit molestiae explicabo. Quae asperiores labore aut at.,2025-07-29 19:52:10.326811
153,9808,Recarga,2024-01-15 23:30:35.626702,4.32,678,Quasi quae quas. Animi a alias ipsam sint eveniet. Unde corporis necessitatibus consectetur dolor.,2025-07-29 19:52:10.326811
154,28669,Recarga,2025-01-02 22:23:58.492262,10.41,308,Vero voluptatibus iusto occaecati recusandae. Mollitia consectetur quo repellat quibusdam nam.,2025-07-29 19:52:10.326811
155,43119,Recarga,2024-11-21 17:34:26.254346,16.36,233,Possimus explicabo sit fugit ex. Expedita autem consequuntur.,2025-07-29 19:52:10.326811
156,54382,Reparo,2023-08-31 22:04:24.079117,10.31,728,Unde officia atque error ab cupiditate excepturi.,2025-07-29 19:52:10.326811
157,49625,Limpeza,2025-05-07 10:22:40.503596,13.09,976,Autem minus earum natus fuga voluptate.,2025-07-29 19:52:10.326811
158,26854,Recarga,2025-06-10 07:23:44.872123,17.77,269,Cum nostrum quis ipsum laborum. Mollitia velit culpa voluptates.,2025-07-29 19:52:10.326811
159,15282,Recarga,2024-06-11 14:08:14.055062,12.2,292,Reiciendis aliquam eaque excepturi id. Amet porro facere perferendis.,2025-07-29 19:52:10.326811
160,49765,Troca Pedra,2024-10-28 21:21:37.077392,14.59,974,Nihil vero accusamus rerum id porro tempora. Eligendi quam dolore sit et doloremque.,2025-07-29 19:52:10.326811
161,48036,Reparo,2024-07-08 02:23:25.566222,11.75,467,Optio exercitationem perferendis laborum aspernatur. Natus perspiciatis repudiandae nihil ipsum.,2025-07-29 19:52:10.326811
162,50611,Recarga,2025-04-05 01:50:42.743714,15.04,309,Iste est ut animi non distinctio fuga. Eveniet atque totam. Esse asperiores ab non.,2025-07-29 19:52:10.326811
163,54559,Recarga,2024-08-31 14:24:00.188303,6.16,265,Eaque quos magnam culpa. Veniam incidunt aliquid nam. Veritatis cupiditate at explicabo quo aut.,2025-07-29 19:52:10.326811
164,5405,Limpeza,2023-08-08 01:12:12.236380,2.34,16,At debitis reiciendis itaque. Doloremque beatae rerum minus.,2025-07-29 19:52:10.326811
165,21080,Recarga,2024-11-27 09:14:24.746946,14.61,926,Placeat numquam necessitatibus. Eos dignissimos cum rem non fuga ipsa rem. Harum magni ipsa.,2025-07-29 19:52:10.326811
166,38459,Recarga,2023-08-04 04:33:19.470768,17.34,146,Sint corrupti omnis similique.,2025-07-29 19:52:10.326811
167,53329,Troca Pedra,2024-04-04 13:10:06.645828,18.97,691,Nemo sunt placeat optio magnam voluptatibus molestias accusantium.,2025-07-29 19:52:10.326811
168,12693,Recarga,2025-05-22 10:09:51.217816,13.93,683,Repellat iste distinctio harum autem. Molestias magni iusto sed consequatur fugiat quas.,2025-07-29 19:52:10.326811
