CompraID,UsuarioID,EstabelecimentoID,DataCompra,ValorTotal,MetodoPagamento,NumeroNF,Observacoes,DataCriacao
45,9847,848,2023-09-29 01:29:32.587663,134.685118,Cartão Crédito,15687609,Eligendi odit unde minima ut accusamus nam. Accusantium at quae vel saepe.,2025-07-29 19:51:10.954087
46,8671,215,2025-04-10 10:32:48.141704,177.049396,PIX,37065782,Autem error impedit incidunt magnam blanditiis. Similique optio veniam similique impedit.,2025-07-29 19:51:10.954087
47,5391,829,2025-05-28 19:36:05.270600,20.88009,PIX,58694084,Veritatis vel rem possimus. Similique iure eius sint soluta.,2025-07-29 19:51:10.954087
48,2015,109,2025-04-15 11:41:49.350167,28.500062,Cartão Crédito,18693317,Quaerat praesentium ab ratione laboriosam minima commodi. Repellendus expedita minus quidem.,2025-07-29 19:51:10.954087
49,7429,592,2023-10-21 19:36:12.112862,127.84651199999999,PIX,59135654,Esse quo suscipit quidem. Nam fuga aut error accusantium.,2025-07-29 19:51:10.954087
50,7126,563,2024-07-01 16:23:48.035694,0.0,PIX,28223849,Commodi veniam error. Suscipit dignissimos blanditiis magnam officiis.,2025-07-29 19:51:10.954087
51,1628,610,2024-09-28 02:01:01.961209,66.19306900000001,Cartão Crédito,34097250,Eaque dolor at adipisci. Quidem magni officiis iusto rerum.,2025-07-29 19:51:10.954087
52,4725,990,2024-07-30 13:22:21.713459,0.0,PIX,24184458,Nulla dignissimos perferendis. Voluptate quibusdam quam esse eveniet.,2025-07-29 19:51:10.954087
53,9603,457,2025-03-23 12:09:32.783024,45.631091999999995,PIX,87382983,"Voluptatibus suscipit vel ipsam debitis.
At ipsam eaque. Amet nobis sed harum earum.",2025-07-29 19:51:10.954087
54,7526,151,2024-09-03 06:16:04.526117,75.851127,PIX,54156807,Qui accusantium saepe porro.,2025-07-29 19:51:10.954087
55,1243,516,2024-08-26 08:39:11.153658,0.0,PIX,01989496,Consectetur id quasi. Sunt ut architecto asperiores tenetur perspiciatis soluta.,2025-07-29 19:51:10.954087
56,5585,555,2024-11-23 22:27:12.620551,296.073432,PIX,33342368,Quia minima quaerat quos omnis perferendis. Facere et eum beatae architecto possimus.,2025-07-29 19:51:10.954087
57,7589,412,2025-02-07 10:30:05.422920,88.404292,Cartão Crédito,38957406,Ut ullam numquam itaque totam ut aperiam. Nulla officiis blanditiis omnis recusandae reprehenderit.,2025-07-29 19:51:10.954087
58,9365,362,2024-05-01 11:57:22.098308,0.0,Cartão Crédito,54348073,Soluta ratione natus debitis. Incidunt veniam error perspiciatis.,2025-07-29 19:51:10.954087
59,5477,437,2024-12-14 22:31:49.587317,244.40841,PIX,08426116,Itaque occaecati vel exercitationem aspernatur. Illum ipsa amet nam reprehenderit.,2025-07-29 19:51:10.954087
60,7219,263,2024-05-06 22:48:44.052665,116.78102200000001,PIX,61974074,Quibusdam distinctio ipsam. Eos excepturi quos modi asperiores corporis ipsam.,2025-07-29 19:51:10.954087
61,8129,857,2023-11-20 10:50:44.067308,117.03023499999999,Dinheiro,91188595,"Saepe reiciendis molestias. Incidunt vero fuga qui.
Enim eius eaque cumque.",2025-07-29 19:51:10.954087
62,5790,357,2025-07-17 10:03:58.529501,63.596520000000005,Cartão Crédito,97764625,Laboriosam quaerat dolorum ut.,2025-07-29 19:51:10.954087
63,3185,191,2025-04-13 03:52:20.065865,55.962522,PIX,24661027,Numquam quis provident fugiat voluptas. Eum incidunt eveniet unde dolorum itaque magni cupiditate.,2025-07-29 19:51:10.954087
64,8619,240,2024-08-17 11:16:53.707968,81.197247,PIX,35982333,Nulla harum laborum incidunt modi consequuntur quae. Vel at debitis commodi quam natus.,2025-07-29 19:51:10.954087
65,2546,327,2024-07-26 22:24:55.160914,0.0,PIX,23749238,Cum qui itaque culpa expedita necessitatibus. Facere dignissimos dolor inventore blanditiis sint.,2025-07-29 19:51:10.954087
66,1316,561,2025-02-08 12:25:55.239665,163.94778,Dinheiro,05722877,Veritatis neque quo cumque dolorum. Ipsam officiis repudiandae repudiandae magni.,2025-07-29 19:51:10.954087
67,6490,533,2024-09-26 16:53:49.871907,186.565634,Dinheiro,16723986,Est provident possimus. Provident tenetur amet consectetur sed.,2025-07-29 19:51:10.954087
68,8703,619,2024-04-28 04:39:05.512630,142.11838799999998,PIX,30122161,Illum error facilis id excepturi hic culpa.,2025-07-29 19:51:10.954087
69,8633,936,2025-04-10 08:44:16.423862,299.359722,PIX,67608171,Dolore eos eos maiores.,2025-07-29 19:51:10.954087
70,5866,866,2023-08-31 06:19:52.067146,235.99609199999998,PIX,53748935,A aliquam corrupti perferendis tenetur. Vitae officia incidunt nesciunt.,2025-07-29 19:51:10.954087
71,9848,616,2023-10-15 15:13:24.097812,91.09379999999999,PIX,57941905,Illo veritatis praesentium quisquam. Aliquam temporibus quisquam nam magni neque aliquam.,2025-07-29 19:51:10.954087
72,6123,816,2023-12-30 05:12:13.612659,9.964208,Dinheiro,61990494,"Dolores dolore voluptatibus dolorum.
In harum modi vero. Non provident beatae veniam fugit.",2025-07-29 19:51:10.954087
73,2770,485,2024-01-29 20:57:34.832340,163.473024,PIX,48372510,Debitis ex omnis magni molestias. Dolor labore autem voluptate cumque blanditiis voluptatum.,2025-07-29 19:51:10.954087
74,6372,264,2024-01-11 02:58:50.388271,45.993648,PIX,98810918,Quis mollitia recusandae voluptatum. Delectus maxime provident et.,2025-07-29 19:51:10.954087
75,3045,130,2023-11-04 09:17:50.012816,0.0,PIX,55366830,Ipsam quo modi modi ea aut ducimus fugit. Dolor assumenda dolores accusantium omnis.,2025-07-29 19:51:10.954087
76,5210,952,2024-10-17 22:55:01.822776,0.0,Cartão Crédito,75934309,Asperiores eum eos aliquam iure nemo. Sapiente repellat aspernatur necessitatibus quos officia.,2025-07-29 19:51:10.954087
77,8588,533,2024-06-19 05:15:55.250821,121.27166,PIX,96677414,Repellendus perferendis repellendus accusantium corporis.,2025-07-29 19:51:10.954087
78,828,148,2024-12-21 19:03:41.158435,38.195117,PIX,14737220,Voluptatum suscipit distinctio dolor. Ipsa sed nostrum possimus suscipit.,2025-07-29 19:51:10.954087
79,7829,589,2024-02-08 11:25:33.488010,0.0,Dinheiro,87935707,Iste ea vero magnam. Repudiandae culpa fugiat. Eum itaque quo repellat cupiditate.,2025-07-29 19:51:10.954087
80,7504,204,2025-01-09 14:11:14.943208,20.306636,PIX,31630351,Iste nihil vel necessitatibus dignissimos.,2025-07-29 19:51:10.954087
81,7332,579,2023-08-01 21:55:20.873800,223.919694,PIX,55583473,Neque officia error iste vero. Enim blanditiis magnam nulla.,2025-07-29 19:51:10.954087
82,3005,387,2025-06-26 18:13:22.889276,70.33404,Cartão Crédito,95491677,Aperiam tempora ad. Libero doloribus nisi doloribus reiciendis quod.,2025-07-29 19:51:10.954087
83,4661,952,2024-06-29 17:12:07.441088,0.0,Cartão Crédito,00254731,Omnis saepe rerum neque sit quos deserunt. Deleniti omnis voluptatem.,2025-07-29 19:51:10.954087
84,792,827,2025-02-16 09:32:58.204989,0.0,Cartão Crédito,05643974,Voluptas nihil aspernatur. Totam perspiciatis enim dignissimos.,2025-07-29 19:51:10.954087
85,503,66,2024-08-21 07:52:30.131461,508.883697,PIX,21958182,"Illum provident quibusdam occaecati.
Aut doloremque ut eos. Eos nobis labore provident cum.",2025-07-29 19:51:10.954087
86,4430,110,2025-06-13 11:11:50.656402,0.0,PIX,67136469,Eveniet beatae velit. Odit assumenda aperiam laborum nemo distinctio. Non placeat nesciunt aut.,2025-07-29 19:51:10.954087
87,4587,398,2024-06-16 00:51:20.548962,82.75022,PIX,30882737,Consectetur recusandae porro sunt. Quibusdam cum laborum deleniti nulla.,2025-07-29 19:51:10.954087
88,5727,963,2024-07-05 20:33:47.279032,0.0,Dinheiro,63431810,Vero iste nihil dolore. Repellendus quod nulla tempora repellat fuga.,2025-07-29 19:51:10.954087
89,2049,189,2024-08-16 04:27:58.273641,0.0,PIX,95500959,Quasi esse vero. Molestiae nihil mollitia assumenda quaerat culpa.,2025-07-29 19:51:10.954087
90,5480,412,2024-04-29 17:16:41.627499,144.293264,PIX,19792378,Itaque quia adipisci sit veniam commodi mollitia suscipit. Enim reiciendis nobis repellat.,2025-07-29 19:51:10.954087
91,2675,328,2025-03-19 12:34:48.536125,168.341856,Cartão Crédito,54927797,Quisquam recusandae delectus. Fugiat delectus animi qui voluptate vel.,2025-07-29 19:51:10.954087
92,7721,249,2024-04-30 01:24:30.614883,119.24036100000002,PIX,92347366,Magni voluptates sit doloremque odit excepturi. Dolorum cumque impedit velit sed placeat sint.,2025-07-29 19:51:10.954087
93,3503,542,2023-11-10 19:19:27.155300,72.489513,Dinheiro,76397431,Error harum distinctio fugit dolores unde earum. Quisquam quaerat laborum odio quam illo soluta.,2025-07-29 19:51:10.954087
94,3611,651,2024-02-08 16:23:33.470041,157.58082399999998,PIX,21610202,Quos dignissimos sed ut error necessitatibus. Repudiandae adipisci iste expedita provident.,2025-07-29 19:51:10.954087
95,2171,591,2023-10-21 09:03:59.362275,0.0,Dinheiro,94670622,Accusamus dolore atque repellat. Qui quod accusantium praesentium debitis. Quam error nihil.,2025-07-29 19:51:10.954087
96,1243,401,2025-01-28 03:29:01.125807,0.0,Dinheiro,49399530,Dignissimos libero optio. Odio earum dolorem rem molestiae ex architecto.,2025-07-29 19:51:10.954087
97,1440,248,2025-07-09 19:13:32.603924,184.650048,PIX,17692564,Modi culpa optio. Doloremque soluta numquam aspernatur animi odit.,2025-07-29 19:51:10.954087
98,9402,879,2024-03-06 06:48:23.320073,286.919087,PIX,92050990,Officia sit quae in molestias. Necessitatibus nostrum voluptatem sed.,2025-07-29 19:51:10.954087
99,8107,970,2025-03-24 02:02:55.791453,0.0,Cartão Crédito,92877542,Ipsum impedit libero. Non nostrum labore tempora officia non.,2025-07-29 19:51:10.954087
100,3277,935,2024-06-21 18:24:44.607327,27.526128,PIX,28088493,Quos nesciunt optio. Eum tempore sit aspernatur delectus. Et dicta temporibus libero.,2025-07-29 19:51:10.954087
101,3874,286,2023-09-04 02:49:41.626041,88.23669000000001,PIX,40699905,Dolores maiores rerum at qui quasi facilis.,2025-07-29 19:51:10.954087
102,8582,382,2024-03-04 17:53:28.297669,194.48535,PIX,02670621,"Minus harum voluptate nam.
Inventore ad eius. Dicta itaque voluptate magnam consectetur.",2025-07-29 19:51:10.954087
103,6448,880,2023-11-18 17:02:53.685823,77.985462,PIX,61750913,Facere nemo possimus rem tempore minus. Vitae neque reiciendis ratione.,2025-07-29 19:51:10.954087
104,8175,16,2024-04-10 20:00:08.329063,193.00039199999998,PIX,86004749,Assumenda reiciendis doloribus eum a sapiente deleniti. Modi ex ex velit hic voluptas illo.,2025-07-29 19:51:10.954087
105,1703,18,2025-03-07 23:41:02.556356,175.67433,PIX,38970061,Commodi officiis perferendis sit harum. Dolores placeat soluta.,2025-07-29 19:51:10.954087
106,1536,734,2024-09-01 17:48:12.055143,296.215134,PIX,54012813,Illum error corporis amet ipsum laborum consectetur. Laboriosam explicabo hic possimus eius.,2025-07-29 19:51:10.954087
107,7943,641,2023-11-01 18:24:14.192662,0.0,PIX,63085525,Occaecati voluptatum expedita a. Tenetur error alias maiores doloremque voluptates.,2025-07-29 19:51:10.954087
108,9990,559,2025-07-25 11:40:17.128490,246.170032,PIX,98520749,Perspiciatis aut dignissimos sunt at natus alias quis. Assumenda eveniet suscipit ut dicta.,2025-07-29 19:51:10.954087
109,5068,167,2024-05-07 20:54:38.801896,229.41759599999997,PIX,89412640,Quo repellat similique veniam natus. Iste distinctio dicta.,2025-07-29 19:51:10.954087
110,4322,488,2025-06-24 17:52:49.016397,83.559418,Dinheiro,83211423,Atque aliquid laborum ex nemo. Laboriosam suscipit similique odit.,2025-07-29 19:51:10.954087
111,2561,45,2024-04-07 11:57:06.462709,0.0,Cartão Crédito,61084100,Quaerat cum dolor odit. Sint cumque amet maxime. Dolores corporis eum quas.,2025-07-29 19:51:10.954087
112,7154,769,2024-10-23 12:52:17.632079,75.35043,PIX,36976164,Ea nemo eaque doloremque fuga ut minima. Eveniet enim laboriosam.,2025-07-29 19:51:10.954087
113,29,36,2025-06-04 06:17:32.759786,0.0,PIX,38175282,Hic sequi temporibus iure doloremque. Pariatur distinctio quo deleniti.,2025-07-29 19:51:10.954087
114,9173,931,2024-07-11 18:08:13.693629,84.91117400000002,PIX,29633241,Laudantium doloremque praesentium. Aliquid in incidunt distinctio molestias.,2025-07-29 19:51:10.954087
115,3584,501,2024-01-23 17:54:41.479994,121.83982199999998,Cartão Crédito,17823548,Quod sequi dolore odit laboriosam.,2025-07-29 19:51:10.954087
116,5109,447,2024-09-12 05:38:39.481103,0.0,Cartão Crédito,96326213,Expedita ipsam fugiat incidunt temporibus laudantium quaerat.,2025-07-29 19:51:10.954087
117,9851,217,2024-08-27 22:15:27.974498,149.651604,Dinheiro,29207336,Fugiat tenetur asperiores quos.,2025-07-29 19:51:10.954087
118,7522,876,2024-01-12 04:22:44.883892,0.0,Cartão Crédito,01961171,Iusto illum impedit.,2025-07-29 19:51:10.954087
119,4821,689,2025-06-20 23:55:05.473773,0.0,Cartão Crédito,87839982,Tempore error placeat velit veritatis accusantium.,2025-07-29 19:51:10.954087
120,6616,147,2024-12-22 10:29:44.541735,0.0,PIX,43472468,Omnis eaque nam inventore necessitatibus delectus sunt. Saepe dicta temporibus ut esse amet.,2025-07-29 19:51:10.954087
121,6459,225,2025-02-06 02:36:37.068123,31.48946,Cartão Crédito,03441596,Facere nulla quod aperiam. Repellat tenetur quia veniam reiciendis.,2025-07-29 19:51:10.954087
122,5408,60,2025-02-07 05:10:19.019861,107.815944,PIX,45148330,Occaecati sequi eum tempore soluta quidem.,2025-07-29 19:51:10.954087
123,9032,6,2023-09-22 19:27:23.620781,0.0,Dinheiro,08346421,Asperiores id aspernatur quo velit. Dolores modi sapiente. Aut sequi ut in ex.,2025-07-29 19:51:10.954087
124,2415,678,2023-12-19 04:52:34.272099,57.84902399999999,Cartão Crédito,62013345,At labore aperiam atque tempora vel. Aliquid magnam recusandae aut.,2025-07-29 19:51:10.954087
125,4427,793,2024-01-22 10:12:52.443505,340.063496,PIX,04193340,Culpa nesciunt sequi facere repudiandae corrupti.,2025-07-29 19:51:10.954087
126,8589,926,2024-04-04 07:26:14.558839,79.557484,PIX,74453078,Beatae dolor laborum illum aspernatur quasi. Officiis sint nam.,2025-07-29 19:51:10.954087
127,5941,27,2024-01-25 21:55:55.950243,226.182892,Cartão Crédito,20710118,Optio similique at iure. Asperiores accusantium neque ut culpa voluptas incidunt.,2025-07-29 19:51:10.954087
128,8577,188,2023-10-07 15:20:36.615478,69.32961,PIX,35868514,Doloribus earum quisquam in alias. Possimus aliquam eaque debitis corrupti nostrum.,2025-07-29 19:51:10.954087
129,5698,751,2025-03-15 17:42:29.386901,0.0,PIX,28523079,Voluptatem voluptatibus nostrum.,2025-07-29 19:51:10.954087
130,3583,56,2023-12-19 02:55:42.134332,408.65972800000003,Cartão Crédito,75931452,Laborum soluta assumenda earum reiciendis totam numquam corporis. Magni molestias veritatis in.,2025-07-29 19:51:10.954087
131,7198,338,2025-02-24 21:52:11.749072,0.0,PIX,23796256,Fugiat nobis saepe suscipit consequuntur vel. Veritatis possimus laboriosam.,2025-07-29 19:51:10.954087
132,6552,267,2024-11-18 03:48:05.383026,9.09638,PIX,48821711,Debitis aspernatur sapiente modi. Quia laborum aperiam blanditiis adipisci neque ab numquam.,2025-07-29 19:51:10.954087
133,9136,25,2024-08-08 05:42:37.945216,38.597644,PIX,10020616,Quas incidunt ipsa ipsa. Quas hic esse debitis.,2025-07-29 19:51:10.954087
134,5086,790,2024-08-28 12:46:57.506251,260.38275699999997,Cartão Crédito,90641008,Itaque ea explicabo veritatis eius laboriosam. Natus fugiat cupiditate alias perferendis.,2025-07-29 19:51:10.954087
135,5163,669,2025-01-06 16:35:37.034278,0.0,Dinheiro,47291157,Minima nostrum rem. Explicabo cumque molestias quo ipsam ut.,2025-07-29 19:51:10.954087
136,9978,89,2025-06-04 05:10:23.376791,95.529109,PIX,04829607,Aliquam quis magni.,2025-07-29 19:51:10.954087
137,9039,599,2025-05-23 07:25:02.753438,169.429608,PIX,76462405,Libero maiores molestiae unde earum debitis iure. Consequatur corporis nobis a.,2025-07-29 19:51:10.954087
138,9674,696,2025-05-06 21:35:33.658943,0.0,Dinheiro,11543817,Eligendi quas aliquid ipsa nesciunt. Quas quos voluptas quae eveniet laboriosam.,2025-07-29 19:51:10.954087
139,5639,458,2024-11-01 01:39:46.143547,73.979925,Cartão Crédito,89265741,Aliquam amet inventore voluptas eos. Excepturi modi dicta ea.,2025-07-29 19:51:10.954087
140,3116,863,2023-09-26 19:48:57.773249,0.0,PIX,54777101,Corrupti id in sunt at. Corporis voluptatum ipsam culpa.,2025-07-29 19:51:10.954087
141,5658,999,2024-07-07 10:12:00.380628,0.0,Dinheiro,20950354,Fugiat commodi facere perferendis dolor dolore. Est repellat dolor facere maiores provident.,2025-07-29 19:51:10.954087
142,1387,430,2025-05-15 07:46:45.794477,39.3162,PIX,53707260,Modi laudantium totam. Neque eveniet possimus laborum adipisci ducimus.,2025-07-29 19:51:10.954087
143,5241,728,2024-10-02 15:57:50.145804,122.68254400000001,Cartão Crédito,49982374,Quisquam quisquam voluptate earum. Vel tempore nisi voluptatibus occaecati explicabo neque ea.,2025-07-29 19:51:10.954087
144,9473,281,2023-10-13 10:22:16.207504,0.0,PIX,19610054,Fugiat nisi voluptatem pariatur quod praesentium. Ipsam officia ratione tempora laborum.,2025-07-29 19:51:10.954087
145,1599,496,2023-10-09 12:32:50.912288,0.0,PIX,62076869,Nam quaerat veritatis dolorem tempora minima odio cupiditate. Doloremque at culpa minus.,2025-07-29 19:51:10.954087
146,1983,518,2023-08-08 16:42:47.740361,0.0,Cartão Crédito,24500883,Optio assumenda sint culpa eaque velit temporibus cupiditate. Ipsam quis explicabo corporis.,2025-07-29 19:51:10.954087
147,7479,301,2024-08-05 21:27:06.310696,77.42436,PIX,43236954,Accusamus necessitatibus eius hic incidunt iste. Odio facere qui laudantium.,2025-07-29 19:51:10.954087
148,313,602,2025-04-08 23:52:21.576580,17.9415,PIX,30348318,Blanditiis blanditiis unde itaque. Nulla earum molestias porro fugiat unde.,2025-07-29 19:51:10.954087
149,5237,279,2025-05-20 04:13:33.601884,0.0,Dinheiro,06854409,Minima impedit aspernatur dignissimos. Molestiae quae eos magnam dolorem sequi.,2025-07-29 19:51:10.954087
150,3860,338,2025-01-12 22:44:42.186389,76.415004,Cartão Crédito,20632175,Impedit laboriosam magni. Voluptatum doloribus itaque similique veritatis.,2025-07-29 19:51:10.954087
151,6038,759,2024-10-25 00:16:14.223336,0.0,Dinheiro,70809473,Modi iure quae ex laudantium. Dicta modi amet facere.,2025-07-29 19:51:10.954087
152,5298,545,2024-05-11 07:42:01.603800,22.39694,PIX,53043481,Iure vitae quos possimus iste iste. Quas beatae debitis.,2025-07-29 19:51:10.954087
153,2165,75,2024-01-09 13:07:08.761420,350.092961,Cartão Crédito,19211381,Fuga fugit cumque nostrum architecto a aut ipsum. Explicabo vitae similique voluptatem repellat.,2025-07-29 19:51:10.954087
154,1700,186,2023-11-17 21:52:50.224974,332.201466,PIX,76404764,Repellat voluptas accusamus officiis. Aspernatur aperiam in ad pariatur aut.,2025-07-29 19:51:10.954087
155,1779,772,2025-04-01 00:04:47.880975,137.34689,PIX,76992698,Consectetur quae minus consectetur nobis at.,2025-07-29 19:51:10.954087
156,4270,106,2025-06-22 02:53:58.890659,86.13377999999999,PIX,17398350,Explicabo placeat repellendus.,2025-07-29 19:51:10.954087
