EstabelecimentoID,TipoEstabelecimentoID,CidadeID,NomeEstabelecimento,Endereco,CEP,Latitude,Longitude,Telefone,HorarioFuncionamento,DataAbertura,DataCriacao,Ativo
28,2,483,da Cruz Moreira e Filhos,"Feira de Pacheco, 81
Vila Mangueiras
12985-418 Aparecida das Pedras / RR",00893-066,-23.63155670262834,-46.518049372545505,81 9144 9340,08:00-22:00,2016-03-23,2025-07-29 19:50:56.311614,1
29,6,346,Silveira Ltda.,"Jardim Machado
Granja De Freitas
19638943 Mendonça de Fogaça / BA",37189-451,-23.673829589349346,-46.54192026926196,+55 (011) 1449 7046,08:00-22:00,2018-07-13,2025-07-29 19:50:56.311614,1
30,8,116,Correia,"Estrada Gonçalves, 228
Pindorama
92360-973 da Cruz de Leão / PR",40756693,-23.519077588768727,-46.516198132721215,0500-617-8989,08:00-22:00,2017-08-20,2025-07-29 19:50:56.311614,1
31,10,201,Pinto,"Avenida de Farias, 22
Álvaro Camargos
18655376 Fogaça das Flores / MG",75241810,-23.543658541483268,-46.7638284669833,51 6602 7348,08:00-22:00,2021-10-27,2025-07-29 19:50:56.311614,1
32,1,87,da Cunha,"Colônia de Montenegro, 7
Universitário
62552522 Vargas Paulista / BA",93952-048,-23.54504883702671,-46.791585461514224,+55 (041) 4000 6444,08:00-22:00,2019-11-14,2025-07-29 19:50:56.311614,1
33,6,68,Cirino,"Trecho de Brito
Vila Dos Anjos
03670413 Barros / SC",91045-390,-23.667297604139787,-46.76703505067667,+55 (061) 3888-7095,08:00-22:00,2017-01-26,2025-07-29 19:50:56.311614,1
34,1,418,Pacheco,"Travessa Castro
Varzea Da Palma
14708133 Carvalho / SE",13228888,-23.551834531721003,-46.525711309544214,+55 (061) 5075-3623,08:00-22:00,2017-03-26,2025-07-29 19:50:56.311614,1
35,6,101,Ferreira,"Conjunto Leão, 682
Ademar Maldonado
95721562 da Paz de Goiás / SP",54798391,-23.65489327782013,-46.75275340843933,+55 (081) 7012 1034,08:00-22:00,2019-06-29,2025-07-29 19:50:56.311614,1
36,10,456,Costela Câmara e Filhos,"Vila Ribeiro, 951
Nazare
14586-156 Pastor da Mata / MA",81370-228,-23.57336562188645,-46.62820898802824,+55 11 4266 8952,08:00-22:00,2022-08-03,2025-07-29 19:50:56.311614,1
37,4,162,Martins e Filhos,"Feira de Castro, 76
Vila São Gabriel Jacui
29191-998 Santos de Brito / AM",32132-732,-23.681351210206554,-46.73172528904177,61 9640-5528,08:00-22:00,2020-02-18,2025-07-29 19:50:56.311614,1
38,3,313,Ferreira,"Trecho Julia Cavalcante
Horto
98863-155 Sales de Vieira / TO",22135-590,-23.44293222017743,-46.793809372524954,+55 (051) 9342 3245,08:00-22:00,2015-12-04,2025-07-29 19:50:56.311614,1
39,3,421,Cardoso Garcia - EI,"Travessa Guerra
Das Industrias I
15749-163 Monteiro da Serra / DF",41054229,-23.696045974108223,-46.774613597357224,+55 (011) 9176-1922,08:00-22:00,2023-04-10,2025-07-29 19:50:56.311614,1
40,4,390,Montenegro,"Morro de Machado, 865
Nova Granada
39692618 Rios / DF",38238500,-23.418203058166398,-46.58706089311008,41 6424-3909,08:00-22:00,2017-07-01,2025-07-29 19:50:56.311614,1
41,3,71,Costela Dias S.A.,"Parque Enzo Gabriel Rocha, 85
Cidade Jardim
58651214 Macedo das Pedras / MS",03184-015,-23.441132453181318,-46.745290064395995,+55 41 6204-3106,08:00-22:00,2023-04-10,2025-07-29 19:50:56.311614,1
42,9,173,Borges Marques Ltda.,"Chácara de Abreu, 205
Boa Vista
03736-646 Cavalcanti de Abreu / SC",00556-451,-23.474217578229208,-46.73125823836995,(081) 5680 9817,08:00-22:00,2020-02-15,2025-07-29 19:50:56.311614,1
43,4,169,da Cunha,"Passarela de da Rocha, 77
Manacas
32483515 Pereira / RR",52499-762,-23.40523482531428,-46.686823049752896,(084) 1403 3341,08:00-22:00,2020-10-31,2025-07-29 19:50:56.311614,1
44,1,103,Rios Freitas S.A.,"Setor de Câmara, 37
Pedreira Padro Lopes
24604953 Rezende de Pacheco / MG",55597-361,-23.683854000861725,-46.60282753195915,0300 295 6174,08:00-22:00,2020-05-22,2025-07-29 19:50:56.311614,1
45,4,228,Moreira,"Vale de Santos, 859
Vila Paquetá
50359957 Rezende / AP",52481375,-23.507520868184294,-46.6591882821121,+55 (041) 4590-1885,08:00-22:00,2022-05-31,2025-07-29 19:50:56.311614,1
46,1,133,Porto e Filhos,"Lagoa Lopes
Ipe
70000004 Mendonça / PI",97774-265,-23.445209372858486,-46.51661693520187,+55 61 6992 0498,08:00-22:00,2024-05-11,2025-07-29 19:50:56.311614,1
47,10,60,Souza e Filhos,"Fazenda de Dias, 36
Ermelinda
18725401 Fernandes / MA",43878-000,-23.662014871040768,-46.6697453427781,41 5690 1998,08:00-22:00,2020-07-11,2025-07-29 19:50:56.311614,1
48,10,451,Costa Costela S.A.,"Distrito Elisa Melo, 593
Vila Pinho
41484-244 Gonçalves de Minas / RN",74598808,-23.52456750640004,-46.74026072394076,(021) 6723-6618,08:00-22:00,2022-02-17,2025-07-29 19:50:56.311614,1
49,3,145,Barros,"Praça Aragão, 2
Vila Santa Monica 1ª Seção
70252-674 Garcia de Teixeira / AC",85611-273,-23.581823427391598,-46.6391571481773,+55 21 1601-1568,08:00-22:00,2024-06-08,2025-07-29 19:50:56.311614,1
50,4,211,Melo Sá - ME,"Conjunto Pedro Miguel Azevedo, 710
Araguaia
49258-572 Correia das Flores / RN",12371-509,-23.56925186599587,-46.66473311547154,(011) 6079-4088,08:00-22:00,2022-05-16,2025-07-29 19:50:56.311614,1
51,4,109,Oliveira Ltda.,"Passarela de Jesus, 18
Vila São João Batista
47948382 da Rosa Verde / ES",45007-774,-23.42624277438443,-46.563858498439494,+55 (084) 6698-1891,08:00-22:00,2017-04-12,2025-07-29 19:50:56.311614,1
52,9,193,Pires,"Vereda de Lopes, 27
Urca
24890252 Almeida / TO",55175-050,-23.538404564917577,-46.51946363083815,+55 31 1153-5350,08:00-22:00,2022-04-21,2025-07-29 19:50:56.311614,1
53,6,357,Barbosa,"Aeroporto Ágatha Pereira, 497
Santa Tereza
30340-708 Rios de Barros / BA",57192360,-23.672021386546103,-46.54911143158905,84 4010 1495,08:00-22:00,2021-10-04,2025-07-29 19:50:56.311614,1
54,3,183,Oliveira,"Via Dias, 93
Itapoa
64941-744 Machado de Silva / MG",23054-572,-23.41883514784667,-46.68328808252222,(041) 6095 1697,08:00-22:00,2020-12-25,2025-07-29 19:50:56.311614,1
55,7,9,Casa Grande,"Sítio Alves, 111
Pongelupe
70910-341 Vargas dos Dourados / RS",40435-663,-23.64443664883113,-46.73516516331259,+55 (081) 5580 0707,08:00-22:00,2016-12-20,2025-07-29 19:50:56.311614,1
56,4,132,Rocha,"Ladeira Sousa, 40
Laranjeiras
22252-837 Caldeira do Oeste / MS",58777-940,-23.43220895505838,-46.52565331889582,+55 (021) 7579 2259,08:00-22:00,2023-06-18,2025-07-29 19:50:56.311614,1
57,7,426,Nascimento Ltda.,"Conjunto Renan Rodrigues, 84
Novo Santa Cecilia
44242092 Cunha da Prata / GO",08764-327,-23.40872378367439,-46.68421810456885,(071) 7960 3526,08:00-22:00,2015-12-22,2025-07-29 19:50:56.311614,1
58,2,430,Alves,"Loteamento de Aragão
Granja Werneck
28345362 Nogueira / PA",72232-709,-23.43664876105179,-46.56893801296539,0900-381-6040,08:00-22:00,2021-11-24,2025-07-29 19:50:56.311614,1
59,7,74,Montenegro,"Setor Arthur Gabriel Barbosa, 552
Vila Santo Antônio Barroquinha
64382-717 Cardoso da Praia / MA",15021-897,-23.496859866657324,-46.50314179763613,0900-341-1129,08:00-22:00,2023-12-18,2025-07-29 19:50:56.311614,1
60,8,96,Caldeira Sousa S.A.,"Recanto Aragão, 51
Dom Bosco
52622-265 Sousa / RN",09031760,-23.476934454053072,-46.62676719554542,+55 21 3584 2374,08:00-22:00,2016-02-23,2025-07-29 19:50:56.311614,1
61,7,129,Moreira,"Lago de Cassiano, 96
Castanheira
25175541 Novais Verde / AL",24820-381,-23.49003982687057,-46.656035859489336,31 3674 0614,08:00-22:00,2022-02-09,2025-07-29 19:50:56.311614,1
62,6,343,Mendonça Cavalcante S.A.,"Chácara Evelyn Costa
Alto Das Antenas
11686053 Rocha / DF",98489446,-23.56184268364348,-46.590038765255635,(021) 7158-9111,08:00-22:00,2021-11-15,2025-07-29 19:50:56.311614,1
63,4,371,Lopes Santos - EI,"Viela de Aparecida, 91
Fernão Dias
94488026 Garcia / TO",20192-736,-23.617674084376443,-46.741820705762805,0900 003 3064,08:00-22:00,2022-07-24,2025-07-29 19:50:56.311614,1
64,9,401,Lima,"Área Brayan Cavalcante, 63
Maria Virgínia
80180-318 da Cunha / PE",79481709,-23.61449918101469,-46.6535280783604,(084) 9231 7606,08:00-22:00,2024-04-17,2025-07-29 19:50:56.311614,1
65,1,372,Nunes,"Área Isabela Guerra, 23
Bom Jesus
40741642 da Luz do Campo / BA",56246353,-23.480649641614157,-46.7063007728669,(081) 4208-9379,08:00-22:00,2023-04-21,2025-07-29 19:50:56.311614,1
66,5,222,Viana das Neves - EI,"Residencial Casa Grande, 51
Vila São Francisco
59862-560 Castro de Costela / PR",22973-259,-23.512189065503833,-46.75073163879729,+55 41 5997-7863,08:00-22:00,2022-08-06,2025-07-29 19:50:56.311614,1
67,1,128,Sales - ME,"Ladeira de Nunes
Vila Madre Gertrudes 3ª Seção
24951-154 Rezende / PE",52909-476,-23.524534789809255,-46.61695903529071,+55 61 9908 3707,08:00-22:00,2020-02-24,2025-07-29 19:50:56.311614,1
68,10,347,Fonseca,"Colônia Alice Sales
Nossa Senhora De Fátima
42370-965 Pires da Praia / PI",45857521,-23.504217348622678,-46.627288174362555,51 7307 3947,08:00-22:00,2016-03-09,2025-07-29 19:50:56.311614,1
69,1,335,Vargas Fonseca S/A,"Trevo de Vasconcelos, 51
Nossa Senhora Do Rosário
69541-338 Câmara das Pedras / AM",01329916,-23.467564129370732,-46.571638920077234,+55 84 2108-5371,08:00-22:00,2016-06-25,2025-07-29 19:50:56.311614,1
70,6,374,Silva Moraes S/A,"Lagoa Mateus Sousa, 9
São Luiz
41472-809 Casa Grande do Galho / AC",67041506,-23.47549772560634,-46.53810896272759,+55 (031) 9839 2838,08:00-22:00,2022-05-29,2025-07-29 19:50:56.311614,1
71,6,486,Barros Moraes S.A.,"Morro de Rezende, 694
União
52148-868 Barbosa / RJ",81856-268,-23.66838107826228,-46.73388720419373,+55 (084) 7749-8781,08:00-22:00,2023-04-08,2025-07-29 19:50:56.311614,1
72,7,7,Fogaça,"Viaduto Porto, 87
Dom Silverio
94318785 Santos da Serra / MS",19513-794,-23.591089485087984,-46.56608920438386,+55 (011) 6580-1959,08:00-22:00,2025-06-22,2025-07-29 19:50:56.311614,1
73,10,225,Pacheco,"Setor de Cunha, 243
Vila Nova Dos Milionarios
51043-212 Fogaça de Goiás / PI",75328661,-23.620809858964773,-46.689784451774116,+55 (041) 0292-2223,08:00-22:00,2019-06-07,2025-07-29 19:50:56.311614,1
74,9,389,Casa Grande Lima e Filhos,"Travessa de Castro, 6
Vila Mangueiras
85887-604 Vasconcelos / RJ",25050682,-23.538528401332755,-46.61135831946197,+55 (071) 7030-8386,08:00-22:00,2016-06-27,2025-07-29 19:50:56.311614,1
75,6,436,Siqueira Duarte - EI,"Largo Zoe Machado, 83
Vila Madre Gertrudes 4ª Seção
44714309 Lopes / ES",56928664,-23.681575175288526,-46.54492799172126,(011) 6779-0414,08:00-22:00,2020-03-11,2025-07-29 19:50:56.311614,1
76,2,116,Cirino,"Pátio Novais, 16
Nova Granada
71216-737 Brito / GO",64728336,-23.471260785752246,-46.72314446541425,(071) 4177-3875,08:00-22:00,2019-01-27,2025-07-29 19:50:56.311614,1
77,4,103,Machado,"Área José Caldeira, 75
São Vicente
38971-825 Carvalho do Amparo / SC",53937-330,-23.668041799871183,-46.61971161481025,0800-991-1824,08:00-22:00,2017-01-16,2025-07-29 19:50:56.311614,1
78,9,226,Carvalho,"Lagoa de Carvalho
Vila Nova Cachoeirinha 1ª Seção
58021-952 Almeida / TO",68863-958,-23.618579392226813,-46.655904336839946,(021) 0355-4686,08:00-22:00,2023-08-01,2025-07-29 19:50:56.311614,1
79,2,53,Freitas,"Esplanada Rodrigues
Serra Do Curral
12565-649 Gomes de Viana / DF",90542-909,-23.465177548433683,-46.56282681196478,+55 84 0557-7269,08:00-22:00,2018-06-13,2025-07-29 19:50:56.311614,1
80,7,375,Montenegro,"Avenida Nunes, 44
Serra Do Curral
64254-238 Nascimento / PI",79031-330,-23.684532005124385,-46.59082761031767,(084) 0792-6048,08:00-22:00,2020-01-19,2025-07-29 19:50:56.311614,1
81,4,3,Gonçalves Cunha S/A,"Conjunto de Guerra, 46
São Cristóvão
55313747 Marques de Minas / PA",98362-752,-23.5019396794332,-46.56911044922903,(051) 5907 4583,08:00-22:00,2020-07-16,2025-07-29 19:50:56.311614,1
82,10,318,Andrade Moreira - ME,"Chácara de Sales, 5
União
07018179 Sampaio / RR",76253-400,-23.422656518461682,-46.71361706111904,+55 61 4115-3873,08:00-22:00,2025-04-06,2025-07-29 19:50:56.311614,1
83,6,32,Porto - ME,"Ladeira das Neves, 68
Vila São Geraldo
43564928 da Mota / PB",86399410,-23.514708654843663,-46.58869311177327,11 6555-7579,08:00-22:00,2023-03-15,2025-07-29 19:50:56.311614,1
84,1,258,da Conceição - ME,"Distrito Rael Rezende, 83
Vila Nova Gameleira 2ª Seção
97977-448 Carvalho de da Paz / TO",95415-815,-23.486202753779576,-46.61825823772212,+55 (011) 6152 9017,08:00-22:00,2018-02-10,2025-07-29 19:50:56.311614,1
85,8,80,Nogueira,"Condomínio Porto, 82
Santo Agostinho
97312-368 Gomes do Sul / RO",12695-929,-23.462319938243233,-46.662995863186275,+55 (011) 1034-3789,08:00-22:00,2020-10-13,2025-07-29 19:50:56.311614,1
86,6,124,Silva,"Estação Porto, 6
Madri
49986-860 Sampaio de Sá / GO",67001076,-23.633326103344153,-46.68649689288955,84 2670 5296,08:00-22:00,2018-04-04,2025-07-29 19:50:56.311614,1
87,7,337,Porto Machado Ltda.,"Passarela de Nascimento, 94
Conjunto Providencia
73133-707 Silva / MA",32030764,-23.52571082459623,-46.70051999076137,(041) 7326 5449,08:00-22:00,2017-01-20,2025-07-29 19:50:56.311614,1
88,6,309,Pacheco Câmara - EI,"Morro de Carvalho
Vila Copacabana
46660-271 Freitas do Campo / PB",95623856,-23.607282985190942,-46.797097691609146,84 9548 6508,08:00-22:00,2017-08-28,2025-07-29 19:50:56.311614,1
89,7,396,Pimenta Fernandes - ME,"Vila de Albuquerque, 3
Morro Dos Macacos
98519817 da Rosa de Aragão / PR",33018599,-23.625151386232407,-46.74913243460796,71 6041 6166,08:00-22:00,2019-01-02,2025-07-29 19:50:56.311614,1
90,5,380,Cavalcanti,"Fazenda Henry Gabriel da Cunha, 60
Vila Santo Antônio
07180824 Monteiro / PI",30485976,-23.642263075474332,-46.782306536332975,+55 84 5627 1954,08:00-22:00,2016-01-02,2025-07-29 19:50:56.311614,1
91,3,389,Costa da Mata e Filhos,"Quadra Lorenzo Novaes, 1
Conjunto São Francisco De Assis
31086-841 Farias de Minas / PA",92227954,-23.524370815409185,-46.5454927372111,71 1504-1986,08:00-22:00,2019-03-11,2025-07-29 19:50:56.311614,1
92,6,260,Montenegro Ltda.,"Condomínio Correia, 18
Nova Vista
43689022 Duarte da Praia / RJ",29525417,-23.461640422033856,-46.54197333887547,+55 21 0778-4059,08:00-22:00,2022-12-06,2025-07-29 19:50:56.311614,1
93,10,312,Cassiano da Paz e Filhos,"Fazenda Macedo, 3
Vila Santa Monica 2ª Seção
07536-541 Novaes do Amparo / TO",08921888,-23.437233280743467,-46.54614199899322,+55 84 1975-1785,08:00-22:00,2024-12-04,2025-07-29 19:50:56.311614,1
94,9,336,Cardoso,"Parque Caio Santos, 76
Funcionários
52829940 Pinto / MT",75809565,-23.571424216157443,-46.55462407069386,+55 71 7184 2804,08:00-22:00,2017-12-04,2025-07-29 19:50:56.311614,1
95,6,210,Oliveira e Filhos,"Via Macedo, 5
Ápia
87887362 Cirino / RR",02766-575,-23.588130299940616,-46.733600863941604,51 9871 3138,08:00-22:00,2023-11-06,2025-07-29 19:50:56.311614,1
96,9,448,Caldeira,"Viaduto Sampaio, 81
Oeste
19439-773 Aragão da Serra / AL",43549-819,-23.493807929369822,-46.652464147646796,0900-260-5640,08:00-22:00,2018-02-16,2025-07-29 19:50:56.311614,1
97,2,45,Lopes,"Parque da Rosa, 93
Indaiá
41746494 Nogueira de Brito / PR",65290111,-23.465892227444293,-46.527646868409484,(081) 6330 8141,08:00-22:00,2023-06-25,2025-07-29 19:50:56.311614,1
98,1,444,Viana Ferreira - ME,"Favela Lorenzo Cunha, 7
Vila Jardim São José
86479-783 Nogueira / AL",50757630,-23.62400419899828,-46.57206546178588,31 4582-6051,08:00-22:00,2019-05-14,2025-07-29 19:50:56.311614,1
99,4,404,Melo Nascimento S/A,"Campo Rezende, 25
Conjunto Taquaril
97214-027 Rocha / SC",81848884,-23.610812734736687,-46.799453914213686,0500-272-1893,08:00-22:00,2021-03-15,2025-07-29 19:50:56.311614,1
100,5,309,Casa Grande Aparecida e Filhos,"Área Maria Laura Aparecida, 30
Senhor Dos Passos
05412664 Jesus de Macedo / AL",08011196,-23.539982004254714,-46.66217202707886,+55 (081) 1260 1012,08:00-22:00,2018-03-28,2025-07-29 19:50:56.311614,1
101,10,329,Siqueira S.A.,"Parque de Rocha, 182
Grajaú
09351-247 Ribeiro / AP",40159-999,-23.566684293648017,-46.796798940222104,11 9001-1009,08:00-22:00,2024-09-27,2025-07-29 19:50:56.311614,1
102,7,272,Sousa,"Pátio de Câmara, 62
Vila Ouro Minas
23373-914 Novaes de Dias / MT",22157-711,-23.48826368008208,-46.715801685905795,(081) 0066-4632,08:00-22:00,2021-05-31,2025-07-29 19:50:56.311614,1
103,8,227,Novaes - EI,"Vila Heloisa Machado
Vila Trinta E Um De Março
48910296 Teixeira / ES",13802-889,-23.548654502703677,-46.669271267631935,51 5501 4411,08:00-22:00,2017-03-12,2025-07-29 19:50:56.311614,1
104,1,349,Pires Ltda.,"Colônia Aparecida, 739
Renascença
37521015 Sousa / MT",02959650,-23.666520268283225,-46.53213021220492,+55 (084) 5437 7125,08:00-22:00,2020-05-19,2025-07-29 19:50:56.311614,1
105,6,113,Cavalcanti,"Recanto de Carvalho, 892
Sport Club
49046-052 Jesus de Moreira / RO",39758436,-23.65021404156357,-46.6036847147558,+55 11 7904-1309,08:00-22:00,2024-04-13,2025-07-29 19:50:56.311614,1
106,1,30,Santos,"Núcleo Caldeira, 1
Mariquinhas
29692-292 da Paz / CE",85942-462,-23.429427346853807,-46.69125463035303,+55 21 1752 0925,08:00-22:00,2023-04-21,2025-07-29 19:50:56.311614,1
107,8,276,Costela Siqueira e Filhos,"Residencial Lima, 16
Vila Novo São Lucas
12642-376 Marques / BA",23653-983,-23.63178049055102,-46.65280352926412,+55 21 0291 0232,08:00-22:00,2023-08-11,2025-07-29 19:50:56.311614,1
108,1,362,Rezende - EI,"Recanto de Aragão, 914
Vila Jardim Montanhes
88910-541 Correia do Amparo / MT",80154556,-23.68497417257463,-46.55478315342091,11 6332-9485,08:00-22:00,2025-01-22,2025-07-29 19:50:56.311614,1
109,4,214,Pereira,"Sítio Camargo, 11
Vila Piratininga Venda Nova
75365-417 Garcia da Prata / RO",92796-784,-23.48056363251383,-46.71010332026589,+55 21 7315 8466,08:00-22:00,2025-02-21,2025-07-29 19:50:56.311614,1
110,3,87,Câmara,"Trecho Cunha, 67
Independência
73859-311 Abreu / AP",18437-008,-23.494796656846606,-46.6154895673594,81 3641 4973,08:00-22:00,2018-07-20,2025-07-29 19:50:56.311614,1
111,2,436,Teixeira e Filhos,"Viaduto Montenegro, 317
Leonina
25331-407 Pinto / PE",19944-111,-23.519977194403552,-46.721325934833644,+55 (081) 9600-3299,08:00-22:00,2016-12-20,2025-07-29 19:50:56.311614,1
112,8,292,Souza Casa Grande S/A,"Vila Dias, 8
Pedreira Padro Lopes
93411022 Sampaio do Norte / BA",69885079,-23.54932315366057,-46.6560109688329,+55 (031) 4034-1526,08:00-22:00,2021-10-28,2025-07-29 19:50:56.311614,1
113,6,22,Fonseca,"Viaduto Eloah Viana, 205
Jardim Do Vale
79685-581 Cassiano Grande / RS",92806-187,-23.40912589378595,-46.792602448931376,41 7632-6639,08:00-22:00,2025-01-17,2025-07-29 19:50:56.311614,1
114,4,385,Cirino S/A,"Vila Davi Miguel Campos, 80
Santana Do Cafezal
22607-379 Pereira do Sul / SP",74212-604,-23.664050311224464,-46.544317404152494,+55 (041) 4667-9181,08:00-22:00,2021-08-11,2025-07-29 19:50:56.311614,1
115,3,21,da Rocha,"Rua Câmara
Vila Madre Gertrudes 1ª Seção
57335-710 Pinto da Prata / PB",94590-333,-23.546951165226552,-46.78549535054634,0900-554-2538,08:00-22:00,2016-01-15,2025-07-29 19:50:56.311614,1
